Fecha;Hora;name;stationId;NO2;PM10;BBP;CO;NOX;PM25;NO;eBC;SO2;OZONO
2025-12-05;07:51;Jazmin;34;25.1;32.3;;1.17;78.4;18.9;53.3;;1.6;0.5
2025-12-05;07:51;Ciudad Bolivar;37;36.9;42.1;4.3;0.91;122.8;24.6;85.9;9.3;1.7;0.9
2025-12-05;07:51;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;07:51;Movil Fontibon;39;-9999.0;18.3;;-9999.0;-9999.0;14.9;-9999.0;;;
2025-12-05;08:36;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;13.8;-9999.0;;-9999.0;-9999.0
2025-12-05;08:36;Carvajal - Sevillana;3;;93.0;;2.04;;36.0;;;2.5;
2025-12-05;08:36;Tunal;4;17.7;68.0;3.7;-9999.0;77.0;0.0;59.3;10.7;2.8;2.6
2025-12-05;08:36;Centro de Alto Rendimiento;5;16.7;14.7;4.8;0.74;42.1;11.1;25.4;6.3;1.0;-9999.0
2025-12-05;08:36;Las Ferias;6;17.3;18.5;;0.75;42.6;15.0;25.2;;;5.5
2025-12-05;08:36;Guaymaral;8;13.7;24.0;;0.35;29.5;4.0;15.8;;3.1;5.8
2025-12-05;08:36;Kennedy;9;29.1;24.6;5.2;1.67;88.2;15.9;59.1;6.8;1.9;0.6
2025-12-05;08:36;Suba;11;12.5;15.2;;0.42;27.0;985.0;14.4;;3.8;3.7
2025-12-05;08:36;Puente Aranda;13;24.2;41.4;0.1;0.98;77.4;16.5;53.8;-9999.0;2.8;1.8
2025-12-05;08:36;MinAmbiente;17;23.4;38.0;;1.18;70.8;24.0;47.4;;1.5;2.3
2025-12-05;08:36;San Cristobal;24;-9999.0;42.0;0.9;1.08;-9999.0;14.0;-9999.0;3.0;1.3;2.0
2025-12-05;08:36;Movil 7ma;26;;26.9;;-9999.0;;20.5;;;;
2025-12-05;08:36;Bolivia;27;34.5;20.1;;0.44;88.7;8.8;54.2;;;2.3
2025-12-05;08:36;Fontibon;30;28.7;-9999.0;3.1;0.75;62.1;12.0;33.4;5.9;-9999.0;2.8
2025-12-05;08:36;Usme;32;21.1;42.2;;0.59;63.7;26.6;42.7;;3.1;3.2
2025-12-05;08:36;Jazmin;34;29.7;28.1;;1.32;88.1;17.9;58.4;;2.0;1.4
2025-12-05;08:36;Ciudad Bolivar;37;43.0;37.5;7.9;1.32;149.6;17.9;106.6;11.3;2.6;1.7
2025-12-05;08:36;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;08:36;Movil Fontibon;39;-9999.0;30.7;;-9999.0;-9999.0;12.0;-9999.0;;;
2025-12-05;09:26;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;8.2;-9999.0;;-9999.0;-9999.0
2025-12-05;09:26;Carvajal - Sevillana;3;;116.0;;2.22;;43.0;;;5.9;
2025-12-05;09:26;Tunal;4;13.8;56.0;0.2;-9999.0;55.3;0.0;41.7;9.9;2.0;7.2
2025-12-05;09:26;Centro de Alto Rendimiento;5;16.7;24.5;6.1;0.7;36.7;8.7;20.0;5.6;0.7;-9999.0
2025-12-05;09:26;Las Ferias;6;12.5;13.7;;0.64;26.4;14.0;14.0;;;12.0
2025-12-05;09:26;Guaymaral;8;9.2;18.0;;0.29;14.4;3.0;5.1;;2.5;11.1
2025-12-05;09:26;Kennedy;9;29.0;30.6;7.4;1.3;71.6;13.1;42.6;6.1;2.2;4.4
2025-12-05;09:26;Suba;11;10.4;15.1;;0.38;22.6;985.0;12.2;;3.1;6.3
2025-12-05;09:26;Puente Aranda;13;47.2;48.1;0.1;1.09;104.9;23.2;58.2;-9999.0;2.8;2.8
2025-12-05;09:26;MinAmbiente;17;34.5;62.0;;1.7;97.5;27.0;63.0;;1.5;3.3
2025-12-05;09:26;San Cristobal;24;-9999.0;65.0;0.2;1.06;-9999.0;32.0;-9999.0;5.1;1.6;5.2
2025-12-05;09:26;Movil 7ma;26;;26.4;;-9999.0;;26.1;;;;
2025-12-05;09:26;Bolivia;27;23.1;23.0;;0.32;49.5;7.4;26.4;;;4.1
2025-12-05;09:26;Fontibon;30;20.2;-9999.0;2.1;0.68;49.5;13.0;29.3;4.9;-9999.0;6.2
2025-12-05;09:26;Usme;32;12.9;35.1;;0.19;26.6;20.3;13.7;;1.2;12.5
2025-12-05;09:26;Jazmin;34;29.8;35.1;;1.08;66.4;20.6;36.6;;1.8;4.8
2025-12-05;09:26;Ciudad Bolivar;37;48.9;53.7;2.2;1.1;129.6;18.5;80.7;11.6;3.8;6.0
2025-12-05;09:26;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;09:26;Movil Fontibon;39;-9999.0;20.6;;-9999.0;-9999.0;23.6;-9999.0;;;
2025-12-05;10:27;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;10.3;-9999.0;;-9999.0;-9999.0
2025-12-05;10:27;Carvajal - Sevillana;3;;105.0;;1.63;;45.0;;;3.9;
2025-12-05;10:27;Tunal;4;25.8;56.0;3.2;-9999.0;80.0;0.0;54.2;14.6;1.8;8.7
2025-12-05;10:27;Centro de Alto Rendimiento;5;12.6;26.7;6.6;0.45;22.7;6.8;10.2;3.7;0.5;-9999.0
2025-12-05;10:27;Las Ferias;6;11.1;10.3;;0.55;20.9;19.0;9.8;;;19.9
2025-12-05;10:27;Guaymaral;8;1.8;19.0;;0.26;4.5;8.0;2.7;;2.1;14.7
2025-12-05;10:27;Kennedy;9;27.8;27.1;8.4;1.0;54.9;22.2;27.1;5.1;2.1;13.2
2025-12-05;10:27;Suba;11;8.4;27.1;;0.34;16.9;985.0;8.5;;1.9;9.2
2025-12-05;10:27;Puente Aranda;13;32.9;57.1;0.1;0.7;70.2;26.7;37.6;-9999.0;2.0;6.1
2025-12-05;10:27;MinAmbiente;17;28.9;45.0;;1.26;64.3;23.0;35.5;;1.3;11.2
2025-12-05;10:27;San Cristobal;24;-9999.0;76.0;1.1;1.4;-9999.0;38.0;-9999.0;6.4;1.5;11.7
2025-12-05;10:27;Movil 7ma;26;;40.3;;-9999.0;;19.7;;;;
2025-12-05;10:27;Bolivia;27;20.2;22.5;;0.27;35.7;11.0;15.5;;;6.8
2025-12-05;10:27;Fontibon;30;15.9;-9999.0;2.3;0.43;30.3;10.0;14.3;3.3;-9999.0;13.6
2025-12-05;10:27;Usme;32;26.4;42.9;;0.51;45.3;19.5;19.0;;2.0;13.5
2025-12-05;10:27;Jazmin;34;36.0;45.0;;1.07;68.6;19.7;32.5;;1.4;9.9
2025-12-05;10:27;Ciudad Bolivar;37;58.9;57.1;6.2;0.95;119.9;25.1;61.0;11.1;2.7;10.3
2025-12-05;10:27;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;10:27;Movil Fontibon;39;-9999.0;36.7;;-9999.0;-9999.0;16.9;-9999.0;;;
2025-12-05;11:32;Usaquen;1;-9999.0;35.4;;-9999.0;-9999.0;10.0;-9999.0;;-9999.0;-9999.0
2025-12-05;11:32;Carvajal - Sevillana;3;;89.0;;1.57;;44.0;;;3.2;
2025-12-05;11:32;Tunal;4;26.2;74.0;1.5;-9999.0;68.7;0.0;42.6;11.9;1.5;7.8
2025-12-05;11:32;Centro de Alto Rendimiento;5;11.9;23.7;5.1;0.36;16.0;6.6;4.1;2.7;0.3;-9999.0
2025-12-05;11:32;Las Ferias;6;13.4;15.5;;0.39;20.4;19.0;7.0;;;23.7
2025-12-05;11:32;Guaymaral;8;6.3;-9999.0;;0.15;10.3;0.0;4.1;;0.7;15.8
2025-12-05;11:32;Kennedy;9;22.2;33.2;7.1;0.74;32.8;16.8;10.6;3.2;1.6;16.2
2025-12-05;11:32;Suba;11;5.8;44.0;;0.27;9.5;985.0;3.7;;1.6;14.9
2025-12-05;11:32;Puente Aranda;13;30.8;57.6;0.1;0.36;48.6;24.5;17.9;-9999.0;1.9;10.4
2025-12-05;11:32;MinAmbiente;17;19.0;25.0;;0.74;30.9;6.0;12.0;;1.0;13.6
2025-12-05;11:32;San Cristobal;24;-9999.0;67.0;4.1;1.14;-9999.0;43.0;-9999.0;5.2;1.3;8.8
2025-12-05;11:32;Movil 7ma;26;;22.0;;-9999.0;;22.0;;;;
2025-12-05;11:32;Bolivia;27;16.3;28.3;;0.19;21.4;9.9;5.1;;;11.6
2025-12-05;11:32;Fontibon;30;16.7;-9999.0;4.3;0.34;25.6;17.0;8.9;3.3;-9999.0;19.4
2025-12-05;11:32;Usme;32;51.8;29.3;;0.89;75.1;14.6;23.3;;2.4;5.6
2025-12-05;11:32;Jazmin;34;32.8;44.0;;0.72;46.2;27.8;13.4;;1.3;11.6
2025-12-05;11:32;Ciudad Bolivar;37;44.3;53.5;2.0;0.51;82.0;20.6;37.7;8.2;2.3;12.0
2025-12-05;11:32;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;11:32;Movil Fontibon;39;-9999.0;25.9;;-9999.0;-9999.0;13.0;-9999.0;;;
2025-12-05;12:23;Usaquen;1;-9999.0;35.4;;-9999.0;-9999.0;8.7;-9999.0;;-9999.0;-9999.0
2025-12-05;12:23;Carvajal - Sevillana;3;;91.0;;1.06;;53.0;;;4.4;
2025-12-05;12:23;Tunal;4;18.5;82.0;3.6;-9999.0;43.1;0.0;24.6;7.4;1.6;15.2
2025-12-05;12:23;Centro de Alto Rendimiento;5;23.4;17.7;3.4;0.53;30.7;5.0;7.3;6.3;1.0;-9999.0
2025-12-05;12:23;Las Ferias;6;26.7;31.8;;0.76;39.5;10.0;12.9;;;15.4
2025-12-05;12:23;Guaymaral;8;8.5;1000.0;;-0.01;12.5;985.0;4.0;;0.6;17.0
2025-12-05;12:23;Kennedy;9;16.9;32.9;4.7;0.66;26.0;15.0;9.1;2.9;1.7;27.0
2025-12-05;12:23;Suba;11;6.3;38.4;;0.3;8.9;985.0;2.6;;1.2;19.6
2025-12-05;12:23;Puente Aranda;13;29.0;41.9;0.1;0.36;44.8;22.6;15.9;-9999.0;2.3;11.5
2025-12-05;12:23;MinAmbiente;17;40.2;84.0;;1.29;64.1;42.0;23.9;;1.8;7.9
2025-12-05;12:23;San Cristobal;24;-9999.0;82.0;1.4;0.96;-9999.0;27.0;-9999.0;5.1;1.5;6.8
2025-12-05;12:23;Movil 7ma;26;;12.3;;-9999.0;;20.6;;;;
2025-12-05;12:23;Bolivia;27;15.9;26.0;;0.2;19.2;7.2;3.3;;;13.7
2025-12-05;12:23;Fontibon;30;13.7;-9999.0;2.4;0.29;20.6;19.0;6.9;3.2;-9999.0;24.3
2025-12-05;12:23;Usme;32;37.7;53.6;;0.7;55.0;24.9;17.3;;3.2;13.2
2025-12-05;12:23;Jazmin;34;32.3;44.0;;0.74;48.0;19.9;15.7;;2.1;12.1
2025-12-05;12:23;Ciudad Bolivar;37;30.2;56.0;4.2;0.3;60.4;27.2;30.1;5.4;2.9;20.0
2025-12-05;12:23;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;12:23;Movil Fontibon;39;-9999.0;35.3;;-9999.0;-9999.0;10.6;-9999.0;;;
2025-12-05;13:33;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;9.4;-9999.0;;-9999.0;-9999.0
2025-12-05;13:33;Carvajal - Sevillana;3;;81.0;;0.72;;34.0;;;3.4;
2025-12-05;13:33;Tunal;4;17.0;69.0;5.0;-9999.0;40.6;0.0;23.7;6.7;1.2;15.5
2025-12-05;13:33;Centro de Alto Rendimiento;5;29.6;26.1;6.2;0.85;41.3;4.9;11.7;9.3;1.1;-9999.0
2025-12-05;13:33;Las Ferias;6;37.6;23.1;;0.95;60.0;31.0;22.5;;;12.4
2025-12-05;13:33;Guaymaral;8;17.1;32.0;;0.41;26.3;12.0;9.1;;0.2;14.5
2025-12-05;13:33;Kennedy;9;9.0;35.5;3.1;0.49;13.7;26.0;4.7;1.4;1.4;30.3
2025-12-05;13:33;Suba;11;8.2;29.2;;0.33;10.4;985.0;2.2;;1.3;18.5
2025-12-05;13:33;Puente Aranda;13;18.7;35.4;0.1;0.1;26.7;23.8;8.0;-9999.0;2.1;21.0
2025-12-05;13:33;MinAmbiente;17;30.8;62.0;;0.97;44.7;28.0;13.9;;1.7;16.6
2025-12-05;13:33;San Cristobal;24;-9999.0;48.0;2.2;0.74;-9999.0;44.0;-9999.0;4.4;1.2;14.2
2025-12-05;13:33;Movil 7ma;26;;74.4;;-9999.0;;17.2;;;;
2025-12-05;13:33;Bolivia;27;17.5;18.6;;0.2;20.7;5.5;3.2;;;15.2
2025-12-05;13:33;Fontibon;30;7.4;-9999.0;3.1;0.17;11.4;15.0;4.0;2.1;-9999.0;31.7
