Fecha;Hora;name;stationId;Humedad;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura
2026-01-05;08:46;Ciudad Bolivar;37;;;213.0;558.0;0.0;;;14.1
2026-01-05;08:46;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;08:46;Movil Fontibon;39;;;262.0;565.0;;;;14.3
2026-01-05;09:29;Usaquen;1;;1.2;;;0.0;;335.0;15.8
2026-01-05;09:29;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;09:29;Tunal;4;56.0;1.1;499.0;564.0;0.0;;143.0;
2026-01-05;09:29;Centro de Alto Rendimiento;5;57.0;1.1;333.0;565.0;0.0;;329.0;19.1
2026-01-05;09:29;Las Ferias;6;56.0;0.4;;565.0;0.0;;336.0;18.0
2026-01-05;09:29;Guaymaral;8;67.0;1.3;333.0;564.0;0.0;16.7;335.0;18.2
2026-01-05;09:29;Kennedy;9;75.7;0.8;125.0;;0.0;;215.0;
2026-01-05;09:29;Suba;11;;1.7;;;0.0;;357.0;15.6
2026-01-05;09:29;Puente Aranda;13;74.0;0.8;169.0;564.0;0.0;;212.0;16.0
2026-01-05;09:29;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;09:29;San Cristobal;24;68.0;0.2;407.0;;0.0;;285.0;15.1
2026-01-05;09:29;Movil 7ma;26;56.6;0.7;215.0;563.0;0.0;;264.0;16.7
2026-01-05;09:29;Bolivia;27;74.0;1.1;513.0;566.0;0.0;;80.0;15.6
2026-01-05;09:29;Fontibon;30;62.0;1.3;;565.0;0.0;;28.0;17.3
2026-01-05;09:29;Usme;32;;;372.0;563.0;0.0;;;16.3
2026-01-05;09:29;Jazmin;34;67.0;0.8;553.0;565.0;0.0;;186.0;16.8
2026-01-05;09:29;Ciudad Bolivar;37;;;434.0;558.0;0.0;;;15.8
2026-01-05;09:29;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;09:29;Movil Fontibon;39;;;522.0;565.0;;;;16.1
2026-01-05;10:29;Usaquen;1;;1.1;;;0.0;;256.0;17.6
2026-01-05;10:29;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;10:29;Tunal;4;50.0;1.4;388.0;564.0;0.0;;113.0;
2026-01-05;10:29;Centro de Alto Rendimiento;5;50.0;1.7;582.0;565.0;0.0;;263.0;20.9
2026-01-05;10:29;Las Ferias;6;50.0;0.9;;565.0;0.0;;19.0;20.1
2026-01-05;10:29;Guaymaral;8;54.0;1.3;461.0;564.0;0.0;19.4;252.0;20.6
2026-01-05;10:29;Kennedy;9;56.9;0.9;451.0;;0.0;;228.0;
2026-01-05;10:29;Suba;11;;1.1;;;0.0;;34.0;19.1
2026-01-05;10:29;Puente Aranda;13;64.0;1.1;261.0;564.0;0.0;;227.0;17.7
2026-01-05;10:29;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;10:29;San Cristobal;24;51.0;2.0;621.0;;0.0;;102.0;18.3
2026-01-05;10:29;Movil 7ma;26;53.2;0.3;290.0;563.0;0.0;;278.0;17.8
2026-01-05;10:29;Bolivia;27;69.0;1.1;651.0;565.0;0.0;;98.0;17.2
2026-01-05;10:29;Fontibon;30;58.0;1.1;;565.0;0.0;;49.0;17.9
2026-01-05;10:29;Usme;32;;;372.0;563.0;0.0;;;17.5
2026-01-05;10:29;Jazmin;34;58.0;1.1;498.0;565.0;0.0;;124.0;17.9
2026-01-05;10:29;Ciudad Bolivar;37;;;398.0;558.0;0.0;;;17.1
2026-01-05;10:29;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;10:29;Movil Fontibon;39;;;594.0;565.0;;;;18.0
2026-01-05;11:33;Usaquen;1;;1.1;;;0.0;;215.0;19.6
2026-01-05;11:33;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;11:33;Tunal;4;47.0;1.9;698.0;564.0;0.0;;263.0;
2026-01-05;11:33;Centro de Alto Rendimiento;5;43.0;2.3;547.0;565.0;0.0;;293.0;21.9
2026-01-05;11:33;Las Ferias;6;44.0;0.9;;564.0;0.0;;294.0;21.4
2026-01-05;11:33;Guaymaral;8;47.0;1.3;481.0;564.0;0.0;20.4;276.0;21.4
2026-01-05;11:33;Kennedy;9;50.1;2.4;422.0;;0.0;;257.0;
2026-01-05;11:33;Suba;11;;0.6;;;0.0;;328.0;21.3
2026-01-05;11:33;Puente Aranda;13;55.0;1.6;309.0;564.0;0.0;;227.0;18.6
2026-01-05;11:33;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;11:33;San Cristobal;24;46.0;0.8;588.0;;0.0;;101.0;19.8
2026-01-05;11:33;Movil 7ma;26;43.4;0.5;469.0;563.0;0.0;;285.0;20.3
2026-01-05;11:33;Bolivia;27;64.0;0.9;347.0;565.0;0.0;;253.0;18.1
2026-01-05;11:33;Fontibon;30;48.0;1.3;;565.0;0.0;;234.0;19.8
2026-01-05;11:33;Usme;32;;;625.0;563.0;0.0;;;19.4
2026-01-05;11:33;Jazmin;34;50.0;1.4;719.0;564.0;0.0;;270.0;19.4
2026-01-05;11:33;Ciudad Bolivar;37;;;366.0;558.0;0.0;;;17.1
2026-01-05;11:33;Colina;38;;1.8;93.0;563.0;0.0;;169.0;16.5
2026-01-05;11:33;Movil Fontibon;39;;;425.0;565.0;;;;19.0
2026-01-05;12:26;Usaquen;1;;1.3;;;0.0;;256.0;18.9
2026-01-05;12:26;Carvajal - Sevillana;3;;1.6;;;0.0;;243.0;11.9
2026-01-05;12:26;Tunal;4;58.0;4.1;809.0;563.0;0.0;;270.0;
2026-01-05;12:26;Centro de Alto Rendimiento;5;57.0;4.4;274.0;565.0;0.0;;295.0;19.4
2026-01-05;12:26;Las Ferias;6;48.0;3.4;;564.0;0.0;;214.0;20.5
2026-01-05;12:26;Guaymaral;8;42.0;1.4;340.0;564.0;0.0;20.7;242.0;21.6
2026-01-05;12:26;Kennedy;9;65.0;3.7;671.0;;0.0;;267.0;
2026-01-05;12:26;Suba;11;;1.3;;;0.0;;253.0;21.5
2026-01-05;12:26;Puente Aranda;13;75.0;3.9;614.0;564.0;0.0;;245.0;17.5
2026-01-05;12:26;MinAmbiente;17;;-9999.0;;;0.0;;-9999.0;
2026-01-05;12:26;San Cristobal;24;58.0;1.1;185.0;;0.0;;293.0;18.3
2026-01-05;12:26;Movil 7ma;26;46.6;1.0;168.0;562.0;0.0;;301.0;20.5
2026-01-05;12:26;Bolivia;27;66.0;2.3;566.0;565.0;0.0;;282.0;18.5
2026-01-05;12:26;Fontibon;30;67.0;6.7;;565.0;0.0;;239.0;17.6
2026-01-05;12:26;Usme;32;;;166.0;562.0;0.0;;;18.4
2026-01-05;12:26;Jazmin;34;69.0;3.8;833.0;564.0;0.0;;264.0;18.2
2026-01-05;12:26;Ciudad Bolivar;37;;;624.0;558.0;0.0;;;15.6
