Fecha;Hora;name;stationId;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M;Dir Viento;Temperatura;Humedad
2025-10-27;07:51;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;07:51;Fontibon;30;2.7;;564.0;0.0;;49.0;12.5;87.0
2025-10-27;07:51;Usme;32;;110.0;562.0;0.0;;;12.2;
2025-10-27;07:51;Jazmin;34;0.8;138.0;564.0;0.0;;326.0;13.7;82.0
2025-10-27;07:51;Ciudad Bolivar;37;;107.0;557.0;0.0;;;12.4;
2025-10-27;07:51;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;07:51;Movil Fontibon;39;;121.0;564.0;;;;12.9;
2025-10-27;08:35;Usaquen;1;1.7;;;0.0;;150.0;14.8;
2025-10-27;08:35;Carvajal - Sevillana;3;0.4;;;0.0;;90.0;17.1;
2025-10-27;08:35;Tunal;4;1.0;345.0;563.0;0.0;;113.0;;62.0
2025-10-27;08:35;Centro de Alto Rendimiento;5;1.1;295.0;565.0;0.0;;312.0;14.2;72.0
2025-10-27;08:35;Las Ferias;6;1.1;;564.0;0.0;;348.0;16.5;60.0
2025-10-27;08:35;Guaymaral;8;0.9;225.0;564.0;0.0;15.4;332.0;15.9;78.0
2025-10-27;08:35;Kennedy;9;1.0;155.0;;0.0;;14.0;;81.1
2025-10-27;08:35;Suba;11;2.1;;;0.0;;15.0;13.0;
2025-10-27;08:35;Puente Aranda;13;0.9;235.0;564.0;0.0;;205.0;15.2;79.0
2025-10-27;08:35;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;08:35;San Cristobal;24;0.1;136.0;;0.0;;47.0;13.9;69.0
2025-10-27;08:35;Movil 7ma;26;0.1;147.0;562.0;0.0;;329.0;14.8;65.0
2025-10-27;08:35;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;08:35;Fontibon;30;2.1;;565.0;0.0;;45.0;14.2;79.0
2025-10-27;08:35;Usme;32;;307.0;562.0;0.0;;;15.4;
2025-10-27;08:35;Jazmin;34;0.7;369.0;564.0;0.0;;294.0;15.4;76.0
2025-10-27;08:35;Ciudad Bolivar;37;;279.0;558.0;0.0;;;14.5;
2025-10-27;08:35;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
2025-10-27;08:35;Movil Fontibon;39;;334.0;565.0;;;;14.1;
2025-10-27;09:25;Usaquen;1;1.0;;;0.0;;198.0;18.1;
2025-10-27;09:25;Carvajal - Sevillana;3;1.9;;;0.0;;258.0;19.0;
2025-10-27;09:25;Tunal;4;1.4;599.0;564.0;0.0;;200.0;;51.0
2025-10-27;09:25;Centro de Alto Rendimiento;5;0.3;460.0;565.0;0.0;;284.0;17.5;53.0
2025-10-27;09:25;Las Ferias;6;0.9;;564.0;0.0;;42.0;19.7;51.0
2025-10-27;09:25;Guaymaral;8;1.3;404.0;564.0;0.0;18.2;7.0;19.5;57.0
2025-10-27;09:25;Kennedy;9;0.8;254.0;;0.0;;226.0;;68.7
2025-10-27;09:25;Suba;11;1.1;;;0.0;;31.0;17.3;
2025-10-27;09:25;Puente Aranda;13;1.0;361.0;564.0;0.0;;186.0;17.1;66.0
2025-10-27;09:25;MinAmbiente;17;-9999.0;;;0.0;;-9999.0;;
2025-10-27;09:25;San Cristobal;24;1.7;221.0;;0.0;;97.0;16.3;58.0
2025-10-27;09:25;Movil 7ma;26;0.5;242.0;562.0;0.0;;196.0;17.1;54.3
2025-10-27;09:25;Bolivia;27;2.3;462.0;565.0;0.0;;261.0;17.7;72.0
2025-10-27;09:25;Fontibon;30;1.9;;565.0;0.0;;35.0;17.0;63.0
2025-10-27;09:25;Usme;32;;607.0;562.0;0.0;;;17.1;
2025-10-27;09:25;Jazmin;34;1.1;716.0;564.0;0.0;;157.0;18.1;57.0
2025-10-27;09:25;Ciudad Bolivar;37;;543.0;558.0;0.0;;;16.8;
2025-10-27;09:25;Colina;38;0.9;53.0;562.0;0.3;;271.0;14.8;
