Fecha;Hora;name;stationId;Presion Baro;Dir Viento;Vel Viento;Humedad;Temperatura 8M;Rad Solar;Lluvia;Temperatura
2025-10-01;07:50;Fontibon;30;566.0;46.0;1.5;86.0;;;0.0;12.3
2025-10-01;07:50;Usme;32;564.0;;;;;56.0;0.0;13.3
2025-10-01;07:50;Jazmin;34;565.0;318.0;0.5;83.0;;83.0;0.0;13.3
2025-10-01;07:50;Ciudad Bolivar;37;559.0;;;;;46.0;0.0;12.8
2025-10-01;07:50;Colina;38;566.0;107.0;0.9;;;55.0;0.0;13.1
2025-10-01;07:50;Movil Fontibon;39;566.0;;;;;74.0;;12.8
2025-10-01;08:33;Usaquen;1;;309.0;0.6;;;;0.0;13.4
2025-10-01;08:33;Carvajal - Sevillana;3;;244.0;3.2;;;;0.0;15.2
2025-10-01;08:33;Tunal;4;565.0;179.0;1.2;69.0;;190.0;0.0;
2025-10-01;08:33;Centro de Alto Rendimiento;5;567.0;105.0;0.5;64.0;;259.0;0.0;14.7
2025-10-01;08:33;Las Ferias;6;566.0;;;59.0;;;0.0;16.4
2025-10-01;08:33;Guaymaral;8;566.0;92.0;1.5;70.0;14.8;224.0;0.0;15.5
2025-10-01;08:33;Kennedy;9;;251.0;0.9;79.2;;103.0;0.0;
2025-10-01;08:33;Suba;11;;46.0;2.3;;;;0.0;13.7
2025-10-01;08:33;Puente Aranda;13;565.0;311.0;1.2;73.0;;257.0;0.0;15.2
2025-10-01;08:33;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;08:33;San Cristobal;24;;107.0;1.7;69.0;;119.0;0.0;13.4
2025-10-01;08:33;Movil 7ma;26;564.0;248.0;0.1;61.0;;146.0;0.0;15.0
2025-10-01;08:33;Bolivia;27;567.0;70.0;2.6;81.0;;336.0;0.0;13.9
2025-10-01;08:33;Fontibon;30;566.0;80.0;1.8;69.0;;;0.0;15.4
2025-10-01;08:33;Usme;32;564.0;;;;;120.0;0.0;13.9
2025-10-01;08:33;Jazmin;34;566.0;172.0;1.3;67.0;;332.0;0.0;15.8
2025-10-01;08:33;Ciudad Bolivar;37;559.0;;;;;298.0;0.0;14.3
2025-10-01;08:33;Colina;38;566.0;106.0;1.5;;;238.0;0.0;14.6
2025-10-01;08:33;Movil Fontibon;39;566.0;;;;;392.0;;15.0
2025-10-01;09:23;Usaquen;1;;249.0;1.3;;;;0.0;15.3
2025-10-01;09:23;Carvajal - Sevillana;3;;245.0;3.9;;;;0.0;16.5
2025-10-01;09:23;Tunal;4;565.0;185.0;1.4;61.0;;371.0;0.0;
2025-10-01;09:23;Centro de Alto Rendimiento;5;567.0;115.0;1.7;58.0;;213.0;0.0;15.0
2025-10-01;09:23;Las Ferias;6;566.0;;;53.0;;;0.0;18.1
2025-10-01;09:23;Guaymaral;8;566.0;107.0;1.8;56.0;17.6;493.0;0.0;18.9
2025-10-01;09:23;Kennedy;9;;196.0;1.1;67.0;;224.0;0.0;
2025-10-01;09:23;Suba;11;;42.0;2.4;;;;0.0;15.6
2025-10-01;09:23;Puente Aranda;13;565.0;168.0;2.1;66.0;;256.0;0.1;16.2
2025-10-01;09:23;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;09:23;San Cristobal;24;;120.0;2.1;63.0;;193.0;0.0;14.5
2025-10-01;09:23;Movil 7ma;26;564.0;121.0;0.2;53.0;;263.0;0.0;17.1
2025-10-01;09:23;Bolivia;27;567.0;86.0;2.4;75.0;;461.0;0.0;15.2
2025-10-01;09:23;Fontibon;30;566.0;112.0;1.9;63.0;;;0.0;15.7
2025-10-01;09:23;Usme;32;564.0;;;;;147.0;0.0;14.7
2025-10-01;09:23;Jazmin;34;566.0;144.0;2.8;62.0;;282.0;0.0;16.1
2025-10-01;09:23;Ciudad Bolivar;37;559.0;;;;;438.0;0.0;15.4
2025-10-01;09:23;Colina;38;566.0;127.0;1.8;;;470.0;0.0;16.1
2025-10-01;09:23;Movil Fontibon;39;567.0;;;;;266.0;;16.1
2025-10-01;10:23;Usaquen;1;;42.0;0.1;;;;0.0;16.0
2025-10-01;10:23;Carvajal - Sevillana;3;;265.0;4.6;;;;0.0;17.7
2025-10-01;10:23;Tunal;4;565.0;194.0;1.6;50.0;;647.0;0.0;
2025-10-01;10:23;Centro de Alto Rendimiento;5;567.0;145.0;1.4;55.0;;217.0;0.0;15.7
2025-10-01;10:23;Las Ferias;6;566.0;;;54.0;;;0.0;17.4
2025-10-01;10:23;Guaymaral;8;566.0;134.0;1.5;51.0;18.2;332.0;0.0;18.9
2025-10-01;10:23;Kennedy;9;;196.0;1.9;54.1;;592.0;0.0;
2025-10-01;10:23;Suba;11;;116.0;2.9;;;;0.0;17.1
2025-10-01;10:23;Puente Aranda;13;566.0;158.0;3.5;57.0;;494.0;0.0;17.4
2025-10-01;10:23;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;10:23;San Cristobal;24;;112.0;1.9;58.0;;325.0;0.0;15.8
2025-10-01;10:23;Movil 7ma;26;564.0;108.0;0.7;47.5;;306.0;0.0;18.7
2025-10-01;10:23;Bolivia;27;567.0;109.0;2.5;70.0;;302.0;0.0;16.2
2025-10-01;10:23;Fontibon;30;566.0;132.0;2.3;57.0;;;0.1;16.8
2025-10-01;10:23;Usme;32;564.0;;;;;265.0;0.0;15.7
2025-10-01;10:23;Jazmin;34;566.0;132.0;3.1;57.0;;349.0;0.0;16.8
2025-10-01;10:23;Ciudad Bolivar;37;559.0;;;;;763.0;0.0;16.3
2025-10-01;10:23;Colina;38;566.0;146.0;1.8;;;430.0;0.0;17.3
2025-10-01;10:23;Movil Fontibon;39;567.0;;;;;392.0;;17.5
2025-10-01;11:29;Usaquen;1;;52.0;1.1;;;;0.0;16.6
2025-10-01;11:29;Carvajal - Sevillana;3;;255.0;4.5;;;;0.0;18.2
2025-10-01;11:29;Tunal;4;565.0;174.0;1.7;48.0;;363.0;0.0;
2025-10-01;11:29;Centro de Alto Rendimiento;5;567.0;129.0;1.9;54.0;;175.0;0.1;15.8
2025-10-01;11:29;Las Ferias;6;566.0;;;53.0;;;0.0;17.5
2025-10-01;11:29;Guaymaral;8;565.0;103.0;2.0;50.0;18.3;306.0;0.0;19.2
2025-10-01;11:29;Kennedy;9;;182.0;1.5;47.4;;307.0;0.0;
2025-10-01;11:29;Suba;11;;110.0;3.5;;;;0.0;18.0
2025-10-01;11:29;Puente Aranda;13;565.0;156.0;2.9;56.0;;451.0;0.0;17.7
2025-10-01;11:29;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;11:29;San Cristobal;24;;121.0;1.4;59.0;;238.0;0.0;15.9
2025-10-01;11:29;Movil 7ma;26;564.0;128.0;0.6;48.0;;196.0;0.0;18.6
2025-10-01;11:29;Bolivia;27;566.0;132.0;2.8;67.0;;274.0;0.0;16.8
2025-10-01;11:29;Fontibon;30;566.0;136.0;2.6;53.0;;;0.0;17.3
2025-10-01;11:29;Usme;32;564.0;;;;;349.0;0.0;16.5
2025-10-01;11:29;Jazmin;34;566.0;137.0;3.0;56.0;;427.0;0.0;17.3
2025-10-01;11:29;Ciudad Bolivar;37;559.0;;;;;389.0;0.0;16.1
2025-10-01;11:29;Colina;38;566.0;136.0;2.0;;;298.0;0.0;17.5
2025-10-01;11:29;Movil Fontibon;39;566.0;;;;;457.0;;18.4
2025-10-01;12:19;Usaquen;1;;170.0;1.2;;;;0.0;16.5
2025-10-01;12:19;Carvajal - Sevillana;3;;263.0;4.3;;;;0.0;18.1
2025-10-01;12:19;Tunal;4;565.0;166.0;2.3;49.0;;738.0;0.0;
2025-10-01;12:19;Centro de Alto Rendimiento;5;566.0;159.0;1.5;51.0;;287.0;0.0;16.6
2025-10-01;12:19;Las Ferias;6;565.0;;;49.0;;;0.0;18.7
2025-10-01;12:19;Guaymaral;8;565.0;146.0;1.8;49.0;18.4;257.0;0.0;19.0
2025-10-01;12:19;Kennedy;9;;194.0;2.0;49.8;;339.0;0.0;
2025-10-01;12:19;Suba;11;;103.0;3.3;;;;0.0;17.9
2025-10-01;12:19;Puente Aranda;13;565.0;152.0;3.5;56.0;;557.0;0.0;17.8
2025-10-01;12:19;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
