Fecha;Hora;name;stationId;Temperatura;Dir Viento;Temperatura 8M;Presion Baro;Lluvia;Vel Viento;Rad Solar;Humedad
2025-12-07;11:28;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;12:19;Usaquen;1;22.4;282.0;;;0.0;0.9;;
2025-12-07;12:19;Carvajal - Sevillana;3;24.5;42.0;;;0.0;2.9;;
2025-12-07;12:19;Tunal;4;;293.0;;564.0;0.0;2.3;686.0;40.0
2025-12-07;12:19;Centro de Alto Rendimiento;5;21.3;27.0;;565.0;0.0;2.0;449.0;43.0
2025-12-07;12:19;Las Ferias;6;22.3;251.0;;564.0;0.0;1.6;;37.0
2025-12-07;12:19;Guaymaral;8;22.6;265.0;21.2;564.0;0.0;1.4;694.0;37.0
2025-12-07;12:19;Kennedy;9;;297.0;;;0.0;2.4;669.0;42.7
2025-12-07;12:19;Suba;11;22.8;265.0;;;0.0;1.1;;
2025-12-07;12:19;Puente Aranda;13;19.7;297.0;;564.0;0.0;1.6;490.0;47.0
2025-12-07;12:19;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;12:19;San Cristobal;24;20.5;351.0;;;0.0;1.1;584.0;42.0
2025-12-07;12:19;Movil 7ma;26;23.1;84.0;;563.0;0.0;0.7;609.0;34.1
2025-12-07;12:19;Bolivia;27;19.1;325.0;;565.0;0.0;1.6;919.0;58.0
2025-12-07;12:19;Fontibon;30;19.9;310.0;;565.0;0.0;3.3;;43.0
2025-12-07;12:19;Usme;32;20.0;;;562.0;0.0;;807.0;
2025-12-07;12:19;Jazmin;34;19.8;309.0;;564.0;0.0;1.9;745.0;45.0
2025-12-07;12:19;Ciudad Bolivar;37;18.5;;;558.0;0.0;;756.0;
2025-12-07;12:19;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;12:19;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;13:32;Usaquen;1;22.0;277.0;;;0.0;0.9;;
2025-12-07;13:32;Carvajal - Sevillana;3;23.6;26.0;;;0.0;4.3;;
2025-12-07;13:32;Tunal;4;;291.0;;563.0;0.0;3.6;620.0;53.0
2025-12-07;13:32;Centro de Alto Rendimiento;5;22.1;310.0;;565.0;0.0;3.2;629.0;46.0
2025-12-07;13:32;Las Ferias;6;24.3;222.0;;563.0;0.0;2.5;;33.0
2025-12-07;13:32;Guaymaral;8;22.0;292.0;21.2;563.0;0.0;1.9;446.0;37.0
2025-12-07;13:32;Kennedy;9;;294.0;;;1.3;3.1;568.0;67.3
2025-12-07;13:32;Suba;11;25.3;289.0;;;0.0;1.6;;
2025-12-07;13:32;Puente Aranda;13;18.5;256.0;;563.0;0.0;3.8;683.0;65.0
2025-12-07;13:32;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;13:32;San Cristobal;24;20.9;297.0;;;0.0;1.9;608.0;47.0
2025-12-07;13:32;Movil 7ma;26;23.5;330.0;;562.0;0.0;0.9;712.0;36.1
2025-12-07;13:32;Bolivia;27;19.7;291.0;;564.0;0.0;2.9;883.0;56.0
2025-12-07;13:32;Fontibon;30;19.5;253.0;;564.0;0.0;6.2;;53.0
2025-12-07;13:32;Usme;32;19.9;;;562.0;0.0;;590.0;
2025-12-07;13:32;Jazmin;34;20.0;286.0;;564.0;0.0;3.6;1071.0;53.0
2025-12-07;13:32;Ciudad Bolivar;37;17.7;;;557.0;0.0;;575.0;
2025-12-07;13:32;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;13:32;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;14:18;Usaquen;1;20.1;270.0;;;0.0;1.6;;
2025-12-07;14:18;Carvajal - Sevillana;3;22.9;15.0;;;0.0;4.4;;
2025-12-07;14:18;Tunal;4;;272.0;;562.0;0.0;4.0;952.0;49.0
2025-12-07;14:18;Centro de Alto Rendimiento;5;22.7;304.0;;564.0;0.0;5.6;768.0;48.0
2025-12-07;14:18;Las Ferias;6;20.2;243.0;;563.0;0.0;4.4;;48.0
2025-12-07;14:18;Guaymaral;8;17.6;310.0;17.2;563.0;0.0;2.7;73.0;52.0
2025-12-07;14:18;Kennedy;9;;284.0;;;0.0;3.7;900.0;54.5
2025-12-07;14:18;Suba;11;22.2;302.0;;;2.8;2.7;;
2025-12-07;14:18;Puente Aranda;13;19.5;249.0;;563.0;0.0;3.7;776.0;58.0
