Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Rad Solar;Presion Baro;Temperatura;Vel Viento;Lluvia;Dir Viento
2025-11-25;06:21;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;06:21;San Cristobal;24;83.0;;0.0;;11.5;1.0;0.0;111.0
2025-11-25;06:21;Movil 7ma;26;64.9;;0.0;561.0;13.6;0.2;0.0;304.0
2025-11-25;06:21;Bolivia;27;87.0;;2.0;564.0;13.1;1.3;0.0;45.0
2025-11-25;06:21;Fontibon;30;86.0;;;564.0;12.9;0.1;0.0;45.0
2025-11-25;06:21;Usme;32;;;1.0;561.0;13.4;;0.0;
2025-11-25;06:21;Jazmin;34;87.0;;1.0;563.0;14.2;0.4;0.0;196.0
2025-11-25;06:21;Ciudad Bolivar;37;;;0.0;557.0;13.2;;0.0;
2025-11-25;06:21;Colina;38;;;53.0;562.0;14.8;0.9;0.3;271.0
2025-11-25;06:21;Movil Fontibon;39;;;2.0;564.0;13.5;;;
2025-11-25;07:52;Usaquen;1;;;;;12.7;0.5;0.0;89.0
2025-11-25;07:52;Carvajal - Sevillana;3;;;;;14.6;1.5;0.0;224.0
2025-11-25;07:52;Tunal;4;81.0;;53.0;563.0;;1.0;0.0;169.0
2025-11-25;07:52;Centro de Alto Rendimiento;5;88.0;;45.0;565.0;10.9;0.4;0.0;22.0
2025-11-25;07:52;Las Ferias;6;75.0;;;564.0;13.2;1.3;0.0;8.0
2025-11-25;07:52;Guaymaral;8;83.0;12.5;16.0;563.0;12.1;0.4;0.0;312.0
2025-11-25;07:52;Kennedy;9;85.9;;26.0;;;0.7;0.0;112.0
2025-11-25;07:52;Suba;11;;;;;12.1;1.2;0.0;24.0
2025-11-25;07:52;Puente Aranda;13;90.0;;30.0;563.0;14.5;1.0;0.0;344.0
2025-11-25;07:52;MinAmbiente;17;;;;;;-9999.0;0.0;-9999.0
2025-11-25;07:52;San Cristobal;24;80.0;;35.0;;12.3;0.6;0.0;98.0
2025-11-25;07:52;Movil 7ma;26;67.2;;39.0;562.0;10.3;0.1;0.0;140.0
