Fecha;Hora;name;stationId;Rad Solar;Temperatura;Lluvia;Temperatura 8M;Dir Viento;Presion Baro;Vel Viento;Humedad
2025-12-30;07:54;Usme;32;6.0;12.6;0.0;;;562.0;;
2025-12-30;07:54;Jazmin;34;16.0;12.8;0.3;;249.0;564.0;0.5;97.0
2025-12-30;07:54;Ciudad Bolivar;37;9.0;11.6;0.1;;;558.0;;
2025-12-30;07:54;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;07:54;Movil Fontibon;39;27.0;12.5;;;;565.0;;
2025-12-30;08:39;Usaquen;1;;13.3;0.0;;123.0;;1.7;
2025-12-30;08:39;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;08:39;Tunal;4;79.0;;0.0;;219.0;564.0;0.6;84.0
2025-12-30;08:39;Centro de Alto Rendimiento;5;92.0;14.3;0.0;;64.0;566.0;0.7;79.0
2025-12-30;08:39;Las Ferias;6;;14.1;0.0;;22.0;565.0;2.0;69.0
2025-12-30;08:39;Guaymaral;8;60.0;14.3;0.0;14.0;254.0;564.0;1.1;73.0
2025-12-30;08:39;Kennedy;9;69.0;;0.0;;75.0;;1.1;85.7
2025-12-30;08:39;Suba;11;;13.1;0.0;;35.0;;1.6;
2025-12-30;08:39;Puente Aranda;13;91.0;13.8;0.1;;86.0;564.0;1.2;91.0
2025-12-30;08:39;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;08:39;San Cristobal;24;41.0;11.5;0.1;;323.0;;0.1;90.0
2025-12-30;08:39;Movil 7ma;26;71.0;13.7;0.0;;133.0;563.0;0.5;72.8
2025-12-30;08:39;Bolivia;27;165.0;13.7;0.0;;71.0;566.0;1.7;81.0
2025-12-30;08:39;Fontibon;30;;13.5;0.0;;57.0;565.0;2.0;83.0
2025-12-30;08:39;Usme;32;69.0;13.1;0.0;;;563.0;;
2025-12-30;08:39;Jazmin;34;122.0;13.6;0.0;;267.0;565.0;0.6;93.0
2025-12-30;08:39;Ciudad Bolivar;37;62.0;12.3;0.0;;;558.0;;
2025-12-30;08:39;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;08:39;Movil Fontibon;39;173.0;13.9;;;;565.0;;
2025-12-30;09:26;Usaquen;1;;14.7;0.0;;287.0;;1.0;
2025-12-30;09:26;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;09:26;Tunal;4;215.0;;0.0;;229.0;564.0;0.9;78.0
2025-12-30;09:26;Centro de Alto Rendimiento;5;219.0;15.5;0.1;;150.0;566.0;2.2;71.0
2025-12-30;09:26;Las Ferias;6;;16.6;0.0;;60.0;565.0;2.2;61.0
2025-12-30;09:26;Guaymaral;8;270.0;17.2;0.0;16.0;98.0;565.0;2.0;63.0
2025-12-30;09:26;Kennedy;9;187.0;;0.0;;182.0;;0.9;80.9
2025-12-30;09:26;Suba;11;;16.1;0.0;;68.0;;2.4;
2025-12-30;09:26;Puente Aranda;13;196.0;14.9;0.0;;100.0;565.0;1.5;83.0
2025-12-30;09:26;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;09:26;San Cristobal;24;128.0;13.0;0.1;;116.0;;0.7;81.0
