Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Vel Viento;Dir Viento;Lluvia;Temperatura;Presion Baro;Rad Solar
2025-10-14;10:26;Usaquen;1;;;1.0;213.0;0.0;14.0;;
2025-10-14;10:26;Carvajal - Sevillana;3;;;;;0.0;15.3;;
2025-10-14;10:26;Tunal;4;;62.0;1.7;189.0;0.0;;564.0;589.0
2025-10-14;10:26;Centro de Alto Rendimiento;5;;59.0;1.4;175.0;0.0;14.4;566.0;244.0
2025-10-14;10:26;Las Ferias;6;;54.0;1.3;63.0;0.0;16.9;565.0;
2025-10-14;10:26;Guaymaral;8;16.4;59.0;1.5;116.0;0.0;17.3;565.0;311.0
2025-10-14;10:26;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;10:26;Suba;11;;;1.5;38.0;0.0;17.1;;
2025-10-14;10:26;Puente Aranda;13;;72.0;2.6;179.0;0.0;14.9;564.0;242.0
2025-10-14;10:26;MinAmbiente;17;;;-9999.0;-9999.0;0.1;;;
2025-10-14;10:26;San Cristobal;24;;65.0;1.4;128.0;0.0;14.3;;253.0
2025-10-14;10:26;Movil 7ma;26;;54.3;0.6;203.0;0.1;16.2;563.0;296.0
2025-10-14;10:26;Bolivia;27;;72.0;2.1;152.0;0.0;15.4;566.0;464.0
2025-10-14;10:26;Fontibon;30;;64.0;2.6;192.0;0.0;15.0;565.0;
2025-10-14;10:26;Usme;32;;;;;0.0;13.9;563.0;203.0
2025-10-14;10:26;Jazmin;34;;68.0;1.9;166.0;0.1;15.3;565.0;389.0
2025-10-14;10:26;Ciudad Bolivar;37;;;;;0.0;13.9;558.0;452.0
2025-10-14;10:26;Colina;38;;;1.5;164.0;0.1;16.0;565.0;393.0
2025-10-14;10:26;Movil Fontibon;39;;;;;;15.2;566.0;253.0
2025-10-14;11:29;Usaquen;1;;;1.6;195.0;0.0;15.8;;
2025-10-14;11:29;Carvajal - Sevillana;3;;;;;0.0;16.5;;
2025-10-14;11:29;Tunal;4;;55.0;1.8;170.0;0.0;;564.0;338.0
2025-10-14;11:29;Centro de Alto Rendimiento;5;;52.0;2.4;134.0;0.0;16.2;565.0;471.0
2025-10-14;11:29;Las Ferias;6;;49.0;2.6;82.0;0.0;18.7;564.0;
2025-10-14;11:29;Guaymaral;8;17.5;52.0;1.8;107.0;0.0;18.6;564.0;399.0
2025-10-14;11:29;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;11:29;Suba;11;;;2.7;116.0;0.0;18.1;;
2025-10-14;11:29;Puente Aranda;13;;68.0;3.2;154.0;0.0;15.7;564.0;328.0
2025-10-14;11:29;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;11:29;San Cristobal;24;;62.0;1.5;112.0;0.0;14.7;;286.0
2025-10-14;11:29;Movil 7ma;26;;48.5;1.0;142.0;0.0;17.7;563.0;339.0
2025-10-14;11:29;Bolivia;27;;68.0;2.8;146.0;0.0;16.0;565.0;463.0
2025-10-14;11:29;Fontibon;30;;59.0;3.9;170.0;0.0;16.1;565.0;
2025-10-14;11:29;Usme;32;;;;;0.0;15.4;563.0;354.0
2025-10-14;11:29;Jazmin;34;;63.0;3.1;139.0;0.0;15.8;565.0;452.0
2025-10-14;11:29;Ciudad Bolivar;37;;;;;0.0;14.8;558.0;336.0
2025-10-14;11:29;Colina;38;;;1.6;175.0;0.0;16.6;564.0;399.0
2025-10-14;11:29;Movil Fontibon;39;;;;;;16.6;565.0;469.0
2025-10-14;12:19;Usaquen;1;;;0.9;119.0;0.2;14.8;;
2025-10-14;12:19;Carvajal - Sevillana;3;;;;;0.0;16.7;;
2025-10-14;12:19;Tunal;4;;55.0;1.8;177.0;0.0;;563.0;338.0
2025-10-14;12:19;Centro de Alto Rendimiento;5;;54.0;1.8;131.0;0.0;15.0;565.0;188.0
2025-10-14;12:19;Las Ferias;6;;51.0;3.2;63.0;0.0;17.5;564.0;
2025-10-14;12:19;Guaymaral;8;16.9;49.0;2.3;133.0;0.0;17.5;564.0;219.0
2025-10-14;12:19;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;12:19;Suba;11;;;3.7;105.0;0.0;17.4;;
2025-10-14;12:19;Puente Aranda;13;;62.0;2.4;130.0;0.0;16.1;564.0;264.0
2025-10-14;12:19;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;12:19;San Cristobal;24;;58.0;1.2;106.0;0.0;15.4;;244.0
2025-10-14;12:19;Movil 7ma;26;;48.8;0.1;80.0;0.0;17.2;562.0;163.0
2025-10-14;12:19;Bolivia;27;;65.0;3.5;124.0;0.0;16.4;565.0;559.0
2025-10-14;12:19;Fontibon;30;;55.0;4.1;149.0;0.0;16.4;564.0;
2025-10-14;12:19;Usme;32;;;;;0.0;15.7;562.0;309.0
2025-10-14;12:19;Jazmin;34;;58.0;2.4;123.0;0.0;16.6;564.0;426.0
2025-10-14;12:19;Ciudad Bolivar;37;;;;;0.0;15.2;557.0;401.0
2025-10-14;12:19;Colina;38;;;1.9;157.0;0.0;16.3;564.0;304.0
2025-10-14;12:19;Movil Fontibon;39;;;;;;17.1;565.0;475.0
2025-10-14;13:33;Usaquen;1;;;1.6;80.0;0.0;14.7;;
2025-10-14;13:33;Carvajal - Sevillana;3;;;;;0.0;17.1;;
2025-10-14;13:33;Tunal;4;;52.0;2.1;164.0;0.0;;563.0;367.0
2025-10-14;13:33;Centro de Alto Rendimiento;5;;55.0;1.4;137.0;0.0;14.7;564.0;132.0
2025-10-14;13:33;Las Ferias;6;;55.0;3.2;53.0;0.0;16.1;563.0;
2025-10-14;13:33;Guaymaral;8;16.6;52.0;2.2;145.0;0.0;17.1;563.0;180.0
2025-10-14;13:33;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;13:33;Suba;11;;;3.3;116.0;0.0;17.0;;
2025-10-14;13:33;Puente Aranda;13;;59.0;2.5;158.0;0.0;16.4;563.0;251.0
2025-10-14;13:33;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;13:33;San Cristobal;24;;57.0;1.2;146.0;0.0;15.2;;200.0
2025-10-14;13:33;Movil 7ma;26;;50.2;0.2;110.0;0.0;17.0;562.0;112.0
2025-10-14;13:33;Bolivia;27;;66.0;3.1;127.0;0.0;16.1;564.0;336.0
2025-10-14;13:33;Fontibon;30;;52.0;3.6;136.0;0.0;16.8;564.0;
2025-10-14;13:33;Usme;32;;;;;0.0;15.5;562.0;265.0
2025-10-14;13:33;Jazmin;34;;56.0;2.4;144.0;0.0;16.6;563.0;367.0
2025-10-14;13:33;Ciudad Bolivar;37;;;;;0.0;15.2;557.0;385.0
