Fecha;Hora;name;stationId;Lluvia;Temperatura 8M;Vel Viento;Humedad;Temperatura;Rad Solar;Dir Viento;Presion Baro
2025-10-02;09:22;Tunal;4;0.0;;1.3;59.0;;229.0;178.0;566.0
2025-10-02;09:22;Centro de Alto Rendimiento;5;0.0;;0.6;53.0;15.6;261.0;114.0;567.0
2025-10-02;09:22;Las Ferias;6;0.0;;;54.0;16.8;;;566.0
2025-10-02;09:22;Guaymaral;8;0.0;15.8;1.6;63.0;17.4;369.0;346.0;566.0
2025-10-02;09:22;Kennedy;9;0.0;;1.2;64.8;;237.0;183.0;
2025-10-02;09:22;Suba;11;0.0;;1.5;;15.1;;18.0;
2025-10-02;09:22;Puente Aranda;13;0.0;;3.1;63.0;15.6;218.0;162.0;566.0
2025-10-02;09:22;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;09:22;San Cristobal;24;0.0;;1.1;61.0;14.0;154.0;103.0;
2025-10-02;09:22;Movil 7ma;26;0.0;;0.6;51.2;16.4;250.0;116.0;564.0
2025-10-02;09:22;Bolivia;27;0.0;;1.9;71.0;15.3;487.0;98.0;567.0
2025-10-02;09:22;Fontibon;30;0.0;;0.7;61.0;15.7;;168.0;567.0
2025-10-02;09:22;Usme;32;0.0;;;;14.7;163.0;;565.0
2025-10-02;09:22;Jazmin;34;0.0;;2.7;59.0;15.8;314.0;133.0;566.0
2025-10-02;09:22;Ciudad Bolivar;37;0.0;;;;14.4;284.0;;560.0
2025-10-02;09:22;Colina;38;0.0;;1.3;;15.5;238.0;140.0;566.0
2025-10-02;09:22;Movil Fontibon;39;;;;;15.6;226.0;;567.0
2025-10-02;10:23;Usaquen;1;0.0;;0.9;;15.8;;166.0;
2025-10-02;10:23;Carvajal - Sevillana;3;0.0;;3.4;;17.8;;256.0;
2025-10-02;10:23;Tunal;4;0.0;;1.4;53.0;;379.0;200.0;566.0
