Fecha;Hora;name;stationId;Dir Viento;Vel Viento;Temperatura;Presion Baro;Temperatura 8M;Humedad;Lluvia;Rad Solar
2025-12-23;09:26;Movil 7ma;26;223.0;0.3;16.9;562.0;;60.9;0.0;358.0
2025-12-23;09:26;Bolivia;27;24.0;1.0;15.0;565.0;;77.0;0.0;452.0
2025-12-23;09:26;Fontibon;30;340.0;1.1;16.2;564.0;;67.0;0.0;
2025-12-23;09:26;Usme;32;;;15.7;562.0;;;0.0;424.0
2025-12-23;09:26;Jazmin;34;301.0;0.9;16.3;564.0;;71.0;0.0;542.0
2025-12-23;09:26;Ciudad Bolivar;37;;;14.9;557.0;;;0.0;348.0
2025-12-23;09:26;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;09:26;Movil Fontibon;39;;;15.8;565.0;;;;363.0
2025-12-23;10:27;Usaquen;1;289.0;0.7;18.8;;;;0.0;
2025-12-23;10:27;Carvajal - Sevillana;3;76.0;1.6;21.4;;;;0.0;
2025-12-23;10:27;Tunal;4;187.0;1.0;;563.0;;64.0;0.0;0.0
2025-12-23;10:27;Centro de Alto Rendimiento;5;66.0;1.4;19.5;565.0;;57.0;0.0;511.0
2025-12-23;10:27;Las Ferias;6;298.0;0.9;19.8;564.0;;50.0;0.0;
2025-12-23;10:27;Guaymaral;8;307.0;1.1;19.4;564.0;18.5;52.0;0.0;378.0
2025-12-23;10:27;Kennedy;9;93.0;1.9;;;;58.7;0.0;810.0
2025-12-23;10:27;Suba;11;358.0;1.5;19.8;;;;0.0;
2025-12-23;10:27;Puente Aranda;13;270.0;1.2;17.2;564.0;;67.0;0.0;303.0
2025-12-23;10:27;MinAmbiente;17;-9999.0;-9999.0;;;;;0.0;
2025-12-23;10:27;San Cristobal;24;40.0;1.1;18.1;;;57.0;0.0;491.0
2025-12-23;10:27;Movil 7ma;26;71.0;0.3;19.9;562.0;;49.8;0.0;536.0
2025-12-23;10:27;Bolivia;27;331.0;1.1;17.2;565.0;;67.0;0.0;806.0
2025-12-23;10:27;Fontibon;30;351.0;1.9;17.1;564.0;;60.0;0.0;
2025-12-23;10:27;Usme;32;;;17.3;562.0;;;0.0;378.0
2025-12-23;10:27;Jazmin;34;313.0;1.3;17.3;564.0;;61.0;0.0;472.0
2025-12-23;10:27;Ciudad Bolivar;37;;;16.6;557.0;;;0.0;456.0
2025-12-23;10:27;Colina;38;271.0;0.9;14.8;562.0;;;0.3;53.0
2025-12-23;10:27;Movil Fontibon;39;;;17.3;565.0;;;;573.0
2025-12-23;11:33;Usaquen;1;352;1.2;19.5;;;;0;
2025-12-23;11:33;Carvajal - Sevillana;3;131;0.9;22.2;;;;0;
2025-12-23;11:33;Tunal;4;187;1;;563;;64;0;0
2025-12-23;11:33;Centro de Alto Rendimiento;5;327;1;21.6;565;;45;0;512
2025-12-23;11:33;Las Ferias;6;301;1;22.3;564;;39;0;
2025-12-23;11:33;Guaymaral;8;287;1.3;21.2;564;20.4;45;0;630
2025-12-23;11:33;Kennedy;9;336;1.3;;;;51.4;0;618
2025-12-23;11:33;Suba;11;330;1.9;21;;;;0;
2025-12-23;11:33;Puente Aranda;13;271;1.3;19;563;;52;0;603
2025-12-23;11:33;MinAmbiente;17;-9999;-9999;;;;;0;
2025-12-23;11:33;San Cristobal;24;28;1.4;19.7;;;50;0;668
2025-12-23;11:33;Movil 7ma;26;308;0.8;20.5;562;;45.5;0;536
2025-12-23;11:33;Bolivia;27;350;1.5;19;565;;55;0;943
2025-12-23;11:33;Fontibon;30;28;1;20.2;564;;42;0;
2025-12-23;11:33;Usme;32;;;17.9;562;;;0;324
2025-12-23;11:33;Jazmin;34;321;1.4;19.1;564;;50;0;689
2025-12-23;11:33;Ciudad Bolivar;37;;;17.3;557;;;0;307
2025-12-23;11:33;Colina;38;271;0.9;14.8;562;;;0.3;53
2025-12-23;11:33;Movil Fontibon;39;;;19.5;565;;;;963
