Fecha;Hora;name;stationId;PM25;eBC;NOX;PM10;BBP;OZONO;NO2;SO2;CO;NO
2025-12-08;10:28;Centro de Alto Rendimiento;5;35.2;4.3;22.6;52.1;13.5;-9999.0;15.3;0.9;0.48;7.4
2025-12-08;10:28;Las Ferias;6;50.0;;30.2;39.5;;28.2;20.4;;0.53;9.8
2025-12-08;10:28;Guaymaral;8;59.0;;21.0;63.0;;32.9;16.1;1.9;0.51;4.9
2025-12-08;10:28;Kennedy;9;49.7;4.0;29.7;74.4;17.1;29.1;20.3;3.6;0.69;9.3
2025-12-08;10:28;Suba;11;985.0;;17.5;57.2;;16.1;11.1;2.1;0.5;6.5
2025-12-08;10:28;Puente Aranda;13;35.4;-9999.0;48.5;75.8;0.1;13.5;34.0;2.8;0.44;14.5
2025-12-08;10:28;MinAmbiente;17;43.0;;38.9;64.0;;26.6;25.5;2.8;0.98;13.4
2025-12-08;10:28;San Cristobal;24;32.0;1.8;-9999.0;42.0;18.7;27.9;-9999.0;1.3;0.57;-9999.0
2025-12-08;10:28;Movil 7ma;26;41.6;;;37.5;;;;;-9999.0;
2025-12-08;10:28;Bolivia;27;36.1;;24.7;62.6;;13.4;18.8;;0.31;5.9
2025-12-08;10:28;Fontibon;30;45.0;4.2;39.8;-9999.0;11.3;24.0;24.9;-9999.0;0.5;14.9
2025-12-08;10:28;Usme;32;37.8;;15.5;36.8;;28.1;11.1;3.1;0.21;4.4
2025-12-08;10:28;Jazmin;34;48.6;;24.4;59.6;;24.3;17.9;2.2;0.46;6.6
2025-12-08;10:28;Ciudad Bolivar;37;48.7;3.5;47.1;99.5;15.9;28.6;26.3;3.6;0.57;20.8
2025-12-08;10:28;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;10:28;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;11:34;Usaquen;1;34.4;;-9999.0;35.3;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;11:34;Carvajal - Sevillana;3;27.0;;;68.0;;;;3.1;0.29;
2025-12-08;11:34;Tunal;4;0.0;4.0;25.3;45.0;8.5;33.7;11.5;0.9;-9999.0;13.7
2025-12-08;11:34;Centro de Alto Rendimiento;5;27.3;3.2;16.5;53.1;13.0;-9999.0;12.7;0.3;0.37;3.8
2025-12-08;11:34;Las Ferias;6;34.0;;18.3;35.1;;36.9;13.1;;0.36;5.2
2025-12-08;11:34;Guaymaral;8;39.0;;11.6;49.0;;45.1;9.5;1.5;0.36;2.2
2025-12-08;11:34;Kennedy;9;36.1;2.3;18.7;56.7;13.2;35.0;13.7;2.7;0.49;5.1
2025-12-08;11:34;Suba;11;985.0;;6.1;61.6;;22.3;4.5;1.3;0.3;1.5
2025-12-08;11:34;Puente Aranda;13;34.1;-9999.0;35.3;72.1;0.1;16.4;26.6;2.1;0.21;8.7
2025-12-08;11:34;MinAmbiente;17;24.0;;22.3;38.0;;34.7;16.4;2.0;0.72;5.9
2025-12-08;11:34;San Cristobal;24;31.0;1.7;-9999.0;37.0;15.0;35.7;-9999.0;1.1;0.54;-9999.0
2025-12-08;11:34;Movil 7ma;26;39.1;;;15.8;;;;;-9999.0;
2025-12-08;11:34;Bolivia;27;32.3;;16.4;61.6;;19.1;14.2;;0.17;2.2
2025-12-08;11:34;Fontibon;30;23.0;1.9;17.3;-9999.0;12.8;32.8;12.9;-9999.0;0.26;4.4
2025-12-08;11:34;Usme;32;26.8;;23.1;19.7;;40.8;18.3;2.5;0.36;4.8
2025-12-08;11:34;Jazmin;34;39.1;;30.8;47.3;;27.1;22.8;2.3;0.42;8.1
2025-12-08;11:34;Ciudad Bolivar;37;34.8;2.0;34.6;67.0;13.3;33.4;18.1;1.9;0.4;16.5
2025-12-08;11:34;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;11:34;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;12:24;Usaquen;1;22.2;;-9999.0;35.4;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;12:24;Carvajal - Sevillana;3;16.0;;;45.0;;;;2.5;0.11;
2025-12-08;12:24;Tunal;4;0.0;3.2;19.3;56.0;7.4;38.0;8.7;0.9;-9999.0;10.5
2025-12-08;12:24;Centro de Alto Rendimiento;5;20.7;1.6;8.1;40.4;14.9;-9999.0;6.9;0.1;0.23;1.1
2025-12-08;12:24;Las Ferias;6;25.0;;8.6;26.0;;44.2;6.7;;0.21;1.8
2025-12-08;12:24;Guaymaral;8;20.0;;8.7;37.0;;50.8;7.1;0.9;0.28;1.6
2025-12-08;12:24;Kennedy;9;25.6;1.2;8.3;45.2;10.8;39.4;6.5;1.6;0.39;1.8
2025-12-08;12:24;Suba;11;985.0;;3.7;60.7;;28.1;3.1;1.4;0.31;0.6
2025-12-08;12:24;Puente Aranda;13;33.0;-9999.0;20.9;63.3;0.1;21.5;17.0;1.6;0.0;3.9
2025-12-08;12:24;MinAmbiente;17;22.0;;17.9;38.0;;39.1;13.9;1.8;0.62;4.0
2025-12-08;12:24;San Cristobal;24;30.0;1.8;-9999.0;40.0;7.1;38.8;-9999.0;1.1;0.47;-9999.0
2025-12-08;12:24;Movil 7ma;26;28.6;;;10.8;;;;;-9999.0;
2025-12-08;12:24;Bolivia;27;23.9;;16.0;50.6;;26.7;13.6;;0.14;2.4
