Fecha;Hora;name;stationId;NOX;BBP;NO2;eBC;CO;PM10;PM25;OZONO;SO2;NO
2025-12-16;08:41;Suba;11;39.6;;16.3;;0.55;68.6;27.0;2.7;6.0;23.3
2025-12-16;08:41;Puente Aranda;13;129.4;0.1;33.0;-9999.0;1.8;59.6;24.0;1.7;4.6;96.4
2025-12-16;08:41;MinAmbiente;17;90.8;;28.3;;1.57;104.0;45.0;2.5;3.9;62.5
2025-12-16;08:41;San Cristobal;24;-9999.0;4.3;-9999.0;2.4;0.78;33.0;16.0;3.8;0.6;-9999.0
2025-12-16;08:41;Movil 7ma;26;;;;;-9999.0;68.0;29.4;;;
2025-12-16;08:41;Bolivia;27;0.4;;0.3;;0.6;60.3;20.1;2.6;;0.1
2025-12-16;08:41;Fontibon;30;85.8;4.5;32.4;8.6;1.1;-9999.0;33.0;3.5;-9999.0;53.4
2025-12-16;08:41;Usme;32;41.6;;17.4;;0.82;69.1;27.3;6.3;2.9;24.2
2025-12-16;08:41;Jazmin;34;98.0;;35.5;;1.46;66.1;33.3;1.4;3.3;62.5
2025-12-16;08:41;Ciudad Bolivar;37;150.6;7.2;40.3;13.2;1.78;120.4;51.2;2.3;4.4;110.4
2025-12-16;08:41;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;08:41;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;79.0;33.5;;;-9999.0
2025-12-16;09:29;Usaquen;1;-9999.0;;-9999.0;;-9999.0;68.1;23.6;-9999.0;-9999.0;-9999.0
2025-12-16;09:29;Carvajal - Sevillana;3;;;;;1.54;119.0;39.0;;4.3;
2025-12-16;09:29;Tunal;4;46.1;1.8;16.1;6.4;-9999.0;54.0;0.0;13.6;1.4;30.1
2025-12-16;09:29;Centro de Alto Rendimiento;5;44.2;5.8;19.2;10.9;1.07;59.5;17.7;-9999.0;5.3;25.0
2025-12-16;09:29;Las Ferias;6;52.9;;25.3;;0.82;29.7;32.0;13.2;;27.6
2025-12-16;09:29;Guaymaral;8;38.3;;20.2;;0.69;57.0;27.0;8.1;1.5;18.1
2025-12-16;09:29;Kennedy;9;92.0;4.7;35.8;8.3;1.66;52.9;33.6;5.5;2.4;56.2
2025-12-16;09:29;Suba;11;30.1;;14.9;;0.5;73.2;26.0;7.4;2.8;15.2
2025-12-16;09:29;Puente Aranda;13;91.7;0.1;35.3;-9999.0;1.12;76.3;28.5;4.6;3.5;57.3
2025-12-16;09:29;MinAmbiente;17;78.9;;31.6;;1.44;88.0;35.0;5.8;3.8;47.3
2025-12-16;09:29;San Cristobal;24;-9999.0;1.1;-9999.0;3.3;0.89;55.0;18.0;12.2;1.1;-9999.0
2025-12-16;09:29;Movil 7ma;26;;;;;-9999.0;59.3;26.2;;;
2025-12-16;09:29;Bolivia;27;0.3;;0.1;;0.5;72.2;24.7;6.9;;0.2
2025-12-16;09:29;Fontibon;30;68.7;5.6;29.8;5.8;0.9;-9999.0;30.0;6.2;-9999.0;39.1
2025-12-16;09:29;Usme;32;18.3;;11.9;;0.37;56.0;26.4;23.4;3.9;6.4
2025-12-16;09:29;Jazmin;34;72.5;;35.3;;1.04;66.3;25.1;8.2;2.2;37.2
2025-12-16;09:29;Ciudad Bolivar;37;53.6;3.0;27.9;4.6;0.58;113.0;42.3;18.5;2.8;25.8
2025-12-16;09:29;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;09:29;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;89.2;26.4;;;-9999.0
2025-12-16;10:29;Usaquen;1;-9999.0;;-9999.0;;-9999.0;49.7;21.0;-9999.0;-9999.0;-9999.0
2025-12-16;10:29;Carvajal - Sevillana;3;;;;;1.27;140.0;51.0;;3.4;
2025-12-16;10:29;Tunal;4;57.5;2.0;24.1;7.9;-9999.0;62.0;0.0;24.4;1.5;33.4
2025-12-16;10:29;Centro de Alto Rendimiento;5;29.8;3.6;17.9;5.9;0.64;60.2;19.6;-9999.0;2.7;11.8
2025-12-16;10:29;Las Ferias;6;29.8;;18.6;;0.5;29.9;31.0;26.9;;11.2
2025-12-16;10:29;Guaymaral;8;12.7;;11.6;;0.49;51.0;16.0;24.3;0.9;1.1
2025-12-16;10:29;Kennedy;9;62.8;6.6;37.7;6.3;1.08;48.9;-9999.0;22.5;1.8;25.1
2025-12-16;10:29;Suba;11;11.0;;7.4;;0.35;75.6;14.0;16.6;1.4;3.6
2025-12-16;10:29;Puente Aranda;13;66.9;0.1;38.0;-9999.0;0.73;83.7;27.7;11.0;2.0;28.9
2025-12-16;10:29;MinAmbiente;17;55.6;;30.1;;1.15;71.0;35.0;16.0;2.4;25.6
2025-12-16;10:29;San Cristobal;24;-9999.0;0.3;-9999.0;4.7;1.27;79.0;27.0;18.8;1.6;-9999.0
2025-12-16;10:29;Movil 7ma;26;;;;;-9999.0;59.4;29.2;;;
2025-12-16;10:29;Bolivia;27;0.3;;0.1;;0.43;66.9;25.4;17.4;;0.2
2025-12-16;10:29;Fontibon;30;74.8;2.7;23.0;4.7;5.07;-9999.0;32.0;19.2;-9999.0;52.1
2025-12-16;10:29;Usme;32;20.7;;14.9;;0.42;51.9;30.7;32.8;2.2;5.8
2025-12-16;10:29;Jazmin;34;72.5;;46.4;;0.99;69.8;39.0;17.3;1.5;26.1
2025-12-16;10:29;Ciudad Bolivar;37;78.1;1.0;47.0;7.1;0.93;87.2;42.0;29.6;2.3;31.1
2025-12-16;10:29;Colina;38;86.3;;62.8;;0.7;2.4;8.0;-9999.0;0.4;23.5
2025-12-16;10:29;Movil Fontibon;39;-9999.0;;-9999.0;;-9999.0;85.7;20.4;;;-9999.0
2025-12-16;11:35;Usaquen;1;-9999.0;;-9999.0;;-9999.0;69.8;22.5;-9999.0;-9999.0;-9999.0
2025-12-16;11:35;Carvajal - Sevillana;3;;;;;1.37;125.0;58.0;;2.7;
2025-12-16;11:35;Tunal;4;39.1;4.2;19.6;6.5;-9999.0;77.0;0.0;41.6;1.0;19.6
2025-12-16;11:35;Centro de Alto Rendimiento;5;21.8;1.5;15.4;4.5;0.5;54.4;23.3;-9999.0;2.1;6.4
2025-12-16;11:35;Las Ferias;6;23.2;;16.1;;0.42;25.5;22.0;35.7;;7.2
2025-12-16;11:35;Guaymaral;8;11.6;;9.3;;0.43;42.0;18.0;29.4;0.4;2.3
2025-12-16;11:35;Kennedy;9;49.8;5.4;38.5;6.1;1.19;0.0;0.0;47.1;-0.1;11.3
2025-12-16;11:35;Suba;11;9.0;;6.4;;0.34;77.0;15.0;20.5;1.5;2.6
