Fecha;Hora;name;stationId;Presion Baro;Vel Viento;Lluvia;Humedad;Temperatura;Temperatura 8M;Dir Viento;Rad Solar
2026-01-09;13:39;Tunal;4;562.0;1.8;0.0;44.0;;;151.0;433.0
2026-01-09;13:39;Centro de Alto Rendimiento;5;564.0;3.1;0.0;50.0;19.8;;140.0;423.0
2026-01-09;13:39;Las Ferias;6;563.0;2.3;0.0;40.0;22.0;;96.0;
2026-01-09;13:39;Guaymaral;8;563.0;2.1;0.0;46.0;20.7;19.8;131.0;423.0
2026-01-09;13:39;Kennedy;9;;1.2;0.0;36.5;;;188.0;395.0
2026-01-09;13:39;Suba;11;;2.6;0.0;;20.3;;104.0;
2026-01-09;13:39;Puente Aranda;13;563.0;1.7;0.0;52.0;18.8;;112.0;222.0
2026-01-09;13:39;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;13:39;San Cristobal;24;;3.4;0.0;48.0;19.1;;112.0;758.0
2026-01-09;13:39;Movil 7ma;26;562.0;1.9;0.0;41.7;21.4;;267.0;817.0
2026-01-09;13:39;Bolivia;27;564.0;2.6;0.0;56.0;19.2;;142.0;497.0
2026-01-09;13:39;Fontibon;30;564.0;2.7;0.0;47.0;18.7;;150.0;
2026-01-09;13:39;Usme;32;562.0;;0.0;;19.2;;;754.0
2026-01-09;13:39;Jazmin;34;563.0;2.9;0.0;45.0;20.1;;153.0;744.0
2026-01-09;13:39;Ciudad Bolivar;37;557.0;;0.0;;19.4;;;865.0
2026-01-09;13:39;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;13:39;Movil Fontibon;39;564.0;;;;19.0;;;260.0
2026-01-09;14:24;Usaquen;1;;3.7;0.0;;18.9;;125.0;
2026-01-09;14:24;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;14:24;Tunal;4;562.0;1.8;0.0;44.0;;;195.0;734.0
2026-01-09;14:24;Centro de Alto Rendimiento;5;564.0;3.0;0.0;44.0;21.1;;164.0;722.0
2026-01-09;14:24;Las Ferias;6;563.0;1.9;0.0;37.0;22.9;;105.0;
2026-01-09;14:24;Guaymaral;8;562.0;2.2;0.0;40.0;22.4;21.2;112.0;618.0
2026-01-09;14:24;Kennedy;9;;2.0;0.0;41.5;;;202.0;298.0
2026-01-09;14:24;Suba;11;;2.5;0.0;;20.9;;93.0;
2026-01-09;14:24;Puente Aranda;13;562.0;2.3;0.0;47.0;19.6;;199.0;436.0
2026-01-09;14:24;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;14:24;San Cristobal;24;;3.1;0.0;47.0;19.5;;126.0;684.0
2026-01-09;14:24;Movil 7ma;26;561.0;2.2;0.0;38.8;22.1;;250.0;875.0
2026-01-09;14:24;Bolivia;27;563.0;2.3;0.0;55.0;19.7;;139.0;677.0
