Fecha;Hora;name;stationId;Lluvia;Vel Viento;Temperatura 8M;Dir Viento;Temperatura;Humedad;Presion Baro;Rad Solar
2025-12-27;07:49;MinAmbiente;17;0.0;-9999.0;;-9999.0;;;;
2025-12-27;07:49;San Cristobal;24;0.0;1.8;;115.0;8.1;81.0;;11.0
2025-12-27;07:49;Movil 7ma;26;0.0;0.4;;198.0;11.3;67.2;562.0;13.0
2025-12-27;07:49;Bolivia;27;0.0;1.5;;55.0;11.4;88.0;564.0;64.0
2025-12-27;07:49;Fontibon;30;0.0;0.7;;43.0;10.9;89.0;564.0;
2025-12-27;07:49;Usme;32;0.0;;;;9.1;;562.0;20.0
2025-12-27;07:49;Jazmin;34;0.0;0.3;;240.0;11.8;83.0;564.0;46.0
2025-12-27;07:49;Ciudad Bolivar;37;0.0;;;;10.6;;557.0;38.0
2025-12-27;07:49;Colina;38;0.3;0.9;;271.0;14.8;;562.0;53.0
2025-12-27;07:49;Movil Fontibon;39;;;;;11.4;;564.0;55.0
2025-12-27;08:31;Usaquen;1;0;0.7;;80;12.2;;;
2025-12-27;08:31;Carvajal - Sevillana;3;0;0.8;;186;14.9;;;
2025-12-27;08:31;Tunal;4;0;1;;187;;64;563;0
2025-12-27;08:31;Centro de Alto Rendimiento;5;0;1;;77;12.6;82;565;217
2025-12-27;08:31;Las Ferias;6;0;3.2;;42;13;63;564;
2025-12-27;08:31;Guaymaral;8;0;1.5;14.9;199;16.1;64;564;202
2025-12-27;08:31;Kennedy;9;0;0.9;;101;;89.4;;64
2025-12-27;08:31;Suba;11;0;1.5;;25;11.7;;;
2025-12-27;08:31;Puente Aranda;13;0;1;;63;14.1;80;564;190
2025-12-27;08:31;MinAmbiente;17;0;-9999;;-9999;;;;
2025-12-27;08:31;San Cristobal;24;0;1;;106;12.1;67;;171
2025-12-27;08:31;Movil 7ma;26;0;0.3;;219;13.1;64.4;562;207
2025-12-27;08:31;Bolivia;27;0;1.8;;66;13.1;78;565;281
2025-12-27;08:31;Fontibon;30;0;3.3;;73;13.8;71;565;
2025-12-27;08:31;Usme;32;0;;;;13;;562;257
2025-12-27;08:31;Jazmin;34;0;0.6;;165;14.9;69;564;297
2025-12-27;08:31;Ciudad Bolivar;37;0;;;;13.1;;558;231
2025-12-27;08:31;Colina;38;0.3;0.9;;271;14.8;;562;53
2025-12-27;08:31;Movil Fontibon;39;;;;;13.7;;565;289
