Fecha;Hora;name;stationId;Lluvia;Rad Solar;Temperatura;Vel Viento;Dir Viento;Humedad;Presion Baro;Temperatura 8M
2025-12-06;15:25;Puente Aranda;13;0.0;239.0;17.7;3.5;238.0;69.0;563.0;
2025-12-06;15:25;MinAmbiente;17;0.4;;;-9999.0;-9999.0;;;
2025-12-06;15:25;San Cristobal;24;0.6;82.0;15.1;1.3;122.0;75.0;;
2025-12-06;15:25;Movil 7ma;26;0.0;114.0;19.3;0.6;315.0;50.8;561.0;
2025-12-06;15:25;Bolivia;27;0.0;234.0;18.2;2.2;249.0;64.0;564.0;
2025-12-06;15:25;Fontibon;30;0.0;;18.3;6.1;237.0;56.0;563.0;
2025-12-06;15:25;Usme;32;0.0;195.0;16.2;;;;561.0;
2025-12-06;15:25;Jazmin;34;0.0;376.0;18.6;3.0;264.0;64.0;563.0;
2025-12-06;15:25;Ciudad Bolivar;37;0.0;329.0;16.5;;;;556.0;
2025-12-06;15:25;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
2025-12-06;15:25;Movil Fontibon;39;;1.0;12.3;;;;564.0;
2025-12-06;16:21;Usaquen;1;0;;17.4;1.8;209;;;
2025-12-06;16:21;Carvajal - Sevillana;3;0;;18.7;2.5;353;;;
2025-12-06;16:21;Tunal;4;0;90;;1.2;189;52;562;
2025-12-06;16:21;Centro de Alto Rendimiento;5;0;49;17.3;1.6;230;63;564;
2025-12-06;16:21;Las Ferias;6;0;;17.6;2.5;199;58;563;
2025-12-06;16:21;Guaymaral;8;0.8;45;18.1;1.7;275;58;563;17.8
2025-12-06;16:21;Kennedy;9;0;120;;2.7;281;62.8;;
2025-12-06;16:21;Suba;11;0;;18.9;2;236;;;
2025-12-06;16:21;Puente Aranda;13;0;64;17.2;3;235;72;562;
2025-12-06;16:21;MinAmbiente;17;0.4;;;-9999;-9999;;;
2025-12-06;16:21;San Cristobal;24;0;23;13.3;2;106;84;;
2025-12-06;16:21;Movil 7ma;26;0;24;17.2;1.3;266;55.7;561;
2025-12-06;16:21;Bolivia;27;0;258;17.6;2.8;245;70;564;
2025-12-06;16:21;Fontibon;30;0;;16.8;5.6;252;66;563;
2025-12-06;16:21;Usme;32;0;68;16.5;;;;561;
2025-12-06;16:21;Jazmin;34;0;57;17.7;1;208;61;563;
2025-12-06;16:21;Ciudad Bolivar;37;0;162;16.4;;;;556;
2025-12-06;16:21;Colina;38;0.3;53;14.8;0.9;271;;562;
2025-12-06;16:21;Movil Fontibon;39;;1;12.3;;;;564;
