Fecha;Hora;name;stationId;Vel Viento;Humedad;Lluvia;Rad Solar;Dir Viento;Temperatura;Presion Baro;Temperatura 8M
2025-11-28;05:27;Movil 7ma;26;0.4;56.4;0.0;0.0;261.0;10.9;562.0;
2025-11-28;05:27;Bolivia;27;2.4;85.0;0.1;0.0;51.0;12.6;564.0;
2025-11-28;05:27;Fontibon;30;2.5;79.0;0.0;;43.0;13.0;564.0;
2025-11-28;05:27;Usme;32;;;0.0;0.0;;13.4;562.0;
2025-11-28;05:27;Jazmin;34;0.5;76.0;0.0;0.0;257.0;14.4;563.0;
2025-11-28;05:27;Ciudad Bolivar;37;;;0.0;0.0;;13.2;557.0;
2025-11-28;05:27;Colina;38;0.9;;0.3;53.0;271.0;14.8;562.0;
2025-11-28;05:27;Movil Fontibon;39;;;;0.0;;13.6;564.0;
2025-11-28;06:21;Usaquen;1;1.1;;0.0;;77.0;13.1;;
2025-11-28;06:21;Carvajal - Sevillana;3;2.4;;0.1;;247.0;13.9;;
2025-11-28;06:21;Tunal;4;0.8;76.0;0.1;1.0;179.0;;563.0;
2025-11-28;06:21;Centro de Alto Rendimiento;5;0.5;73.0;0.1;0.0;180.0;12.8;565.0;
2025-11-28;06:21;Las Ferias;6;2.0;62.0;0.0;;26.0;13.6;563.0;
2025-11-28;06:21;Guaymaral;8;0.5;77.0;0.0;0.0;272.0;12.1;564.0;12.0
2025-11-28;06:21;Kennedy;9;0.6;75.6;0.0;0.0;166.0;;;
2025-11-28;06:21;Suba;11;1.7;;0.0;;5.0;11.4;;
2025-11-28;06:21;Puente Aranda;13;1.0;80.0;0.0;0.0;210.0;14.4;563.0;
2025-11-28;06:21;MinAmbiente;17;-9999.0;;0.0;;-9999.0;;;
2025-11-28;06:21;San Cristobal;24;0.5;69.0;0.0;0.0;68.0;11.7;;
2025-11-28;06:21;Movil 7ma;26;1.0;54.7;0.0;0.0;282.0;12.1;562.0;
2025-11-28;06:21;Bolivia;27;2.2;85.0;0.0;0.0;44.0;12.5;565.0;
2025-11-28;06:21;Fontibon;30;2.7;79.0;0.0;;50.0;12.9;564.0;
2025-11-28;06:21;Usme;32;;;0.2;0.0;;13.0;562.0;
2025-11-28;06:21;Jazmin;34;0.7;77.0;0.0;0.0;223.0;14.1;564.0;
2025-11-28;06:21;Ciudad Bolivar;37;;;0.1;0.0;;12.9;557.0;
2025-11-28;06:21;Colina;38;0.9;;0.3;53.0;271.0;14.8;562.0;
2025-11-28;06:21;Movil Fontibon;39;;;;0.0;;13.7;564.0;
2025-11-28;07:50;Usaquen;1;1.1;;0.3;;320;12.2;;
2025-11-28;07:50;Carvajal - Sevillana;3;2.5;;0.8;;239;13;;
2025-11-28;07:50;Tunal;4;0.8;79;0.6;12;169;;563;
2025-11-28;07:50;Centro de Alto Rendimiento;5;0.3;84;1;10;142;11.8;565;
2025-11-28;07:50;Las Ferias;6;1.7;69;0.5;;26;12.7;564;
2025-11-28;07:50;Guaymaral;8;0.7;78;0.5;0;308;11.7;564;11.6
2025-11-28;07:50;Kennedy;9;0.8;77.4;0.9;10;158;;;
2025-11-28;07:50;Suba;11;1.8;;0.8;;20;11.3;;
2025-11-28;07:50;Puente Aranda;13;1.1;85;0.5;9;191;13.5;563;
2025-11-28;07:50;MinAmbiente;17;-9999;;0.3;;-9999;;;
2025-11-28;07:50;San Cristobal;24;1.3;78;0.3;5;107;10.9;;
2025-11-28;07:50;Movil 7ma;26;0.3;59.4;0.5;7;207;11.1;562;
2025-11-28;07:50;Bolivia;27;2.1;85;0.8;12;59;12.3;565;
2025-11-28;07:50;Fontibon;30;2.4;81;1.1;;63;12.4;564;
2025-11-28;07:50;Usme;32;;;0.3;8;;12.6;562;
2025-11-28;07:50;Jazmin;34;0.5;86;0.7;11;188;13.4;564;
2025-11-28;07:50;Ciudad Bolivar;37;;;0.7;4;;12.4;557;
2025-11-28;07:50;Colina;38;0.9;;0.3;53;271;14.8;562;
2025-11-28;07:50;Movil Fontibon;39;;;;15;;13.2;565;
