Fecha;Hora;name;stationId;Dir Viento;Humedad;Rad Solar;Temperatura 8M;Temperatura;Vel Viento;Presion Baro;Lluvia
2025-11-07;04:25;Las Ferias;6;350.0;80.0;;;10.5;1.4;564.0;0.0
2025-11-07;04:25;Guaymaral;8;300.0;85.0;0.0;8.5;8.4;0.6;564.0;0.0
2025-11-07;04:25;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;04:25;Suba;11;19.0;;;;8.8;1.3;;0.0
2025-11-07;04:25;Puente Aranda;13;260.0;97.0;0.0;;11.6;1.0;563.0;0.0
2025-11-07;04:25;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;04:25;San Cristobal;24;114.0;82.0;0.0;;9.0;1.3;;0.0
2025-11-07;04:25;Movil 7ma;26;179.0;68.0;0.0;;10.3;0.6;562.0;0.0
2025-11-07;04:25;Bolivia;27;59.0;91.0;0.0;;10.5;1.2;565.0;0.0
2025-11-07;04:25;Fontibon;30;5.0;90.0;;;10.3;0.6;564.0;0.0
2025-11-07;04:25;Usme;32;;;0.0;;10.9;;562.0;0.0
2025-11-07;04:25;Jazmin;34;286.0;96.0;0.0;;11.0;0.8;564.0;0.0
2025-11-07;04:25;Ciudad Bolivar;37;;;0.0;;10.0;;557.0;0.0
2025-11-07;04:25;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;04:25;Movil Fontibon;39;;;0.0;;9.8;;564.0;
2025-11-07;05:26;Usaquen;1;20.0;;;;10.6;0.6;;0.0
2025-11-07;05:26;Carvajal - Sevillana;3;24.0;;;;10.3;0.4;;0.0
2025-11-07;05:26;Tunal;4;248.0;85.0;1.0;;;0.5;563.0;0.0
2025-11-07;05:26;Centro de Alto Rendimiento;5;247.0;88.0;0.0;;7.1;0.2;565.0;0.0
2025-11-07;05:26;Las Ferias;6;24.0;80.0;;;10.1;0.4;564.0;0.0
2025-11-07;05:26;Guaymaral;8;315.0;86.0;0.0;8.1;8.0;0.6;564.0;0.0
2025-11-07;05:26;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;05:26;Suba;11;33.0;;;;8.3;0.8;;0.0
2025-11-07;05:26;Puente Aranda;13;233.0;97.0;0.0;;11.3;1.1;563.0;0.0
2025-11-07;05:26;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;05:26;San Cristobal;24;112.0;83.0;0.0;;8.7;1.3;;0.0
2025-11-07;05:26;Movil 7ma;26;308.0;70.5;0.0;;10.2;0.8;562.0;0.0
2025-11-07;05:26;Bolivia;27;82.0;90.0;0.0;;10.5;1.1;565.0;0.0
2025-11-07;05:26;Fontibon;30;29.0;90.0;;;10.3;0.6;564.0;0.0
