Fecha;Hora;name;stationId;CO;SO2;NO2;NO;OZONO;NOX;PM25;BBP;eBC;PM10
2025-11-20;14:19;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;20.1;;;69.9
2025-11-20;15:28;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;16.1;;;57.0
2025-11-20;15:28;Carvajal - Sevillana;3;0.83;2.1;;;;;20.0;;;56.0
2025-11-20;15:28;Tunal;4;-9999.0;1.8;14.4;26.2;14.0;40.6;0.0;2.0;8.3;49.0
2025-11-20;15:28;Centro de Alto Rendimiento;5;0.36;1.7;0.0;0.0;0.0;0.0;12.1;5.5;3.5;48.7
2025-11-20;15:28;Las Ferias;6;0.53;;20.8;10.3;22.2;31.0;23.0;;;36.1
2025-11-20;15:28;Guaymaral;8;0.21;0.7;4.4;12.5;27.3;17.0;2.0;;;29.0
2025-11-20;15:28;Kennedy;9;0.81;1.6;9.6;3.2;26.5;12.8;18.1;5.7;1.9;30.8
2025-11-20;15:28;Suba;11;0.41;1.1;7.0;1.2;25.5;8.2;18.0;;;39.4
2025-11-20;15:28;Puente Aranda;13;0.22;1.5;20.9;8.6;15.9;29.5;21.9;0.1;-9999.0;46.1
2025-11-20;15:28;MinAmbiente;17;0.69;0.8;22.2;9.9;18.7;32.1;20.0;;;60.0
2025-11-20;15:28;San Cristobal;24;0.51;1.1;-9999.0;-9999.0;18.9;-9999.0;16.0;1.6;2.4;38.0
2025-11-20;15:28;Movil 7ma;26;-9999.0;;;;;;50.7;;;70.3
2025-11-20;15:28;Bolivia;27;0.73;;15.9;2.4;22.9;18.3;17.8;;;82.9
2025-11-20;15:28;Fontibon;30;0.26;-9999.0;25.1;21.0;30.2;42.7;17.0;3.0;2.8;-9999.0
2025-11-20;15:28;Usme;32;0.41;2.8;18.3;5.9;22.6;24.2;4.1;;;29.3
2025-11-20;15:28;Jazmin;34;0.42;1.3;17.9;6.5;18.4;24.4;17.1;;;39.4
2025-11-20;15:28;Ciudad Bolivar;37;0.35;1.5;19.8;16.6;24.8;36.4;25.2;3.1;2.7;40.5
2025-11-20;15:28;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;15:28;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;16.5;;;74.6
2025-11-20;16:22;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;8.3;;;35.6
2025-11-20;16:22;Carvajal - Sevillana;3;0.62;1.7;;;;;20.0;;;22.0
2025-11-20;16:22;Tunal;4;-9999.0;1.9;15.1;38.9;10.2;53.9;0.0;4.9;7.9;49.0
2025-11-20;16:22;Centro de Alto Rendimiento;5;0.34;0.9;0.0;0.0;0.0;0.0;12.7;4.2;2.2;42.1
2025-11-20;16:22;Las Ferias;6;0.68;;26.3;13.1;8.2;39.4;15.0;;;28.2
2025-11-20;16:22;Guaymaral;8;0.73;1.1;39.4;37.5;7.0;76.9;19.0;;;34.0
2025-11-20;16:22;Kennedy;9;0.98;1.6;18.1;11.7;16.9;29.8;18.5;7.7;3.1;31.0
2025-11-20;16:22;Suba;11;0.75;0.9;24.2;9.0;13.1;33.2;24.0;;;27.4
2025-11-20;16:22;Puente Aranda;13;0.39;1.3;26.9;20.6;4.5;47.4;24.5;0.1;-9999.0;41.1
2025-11-20;16:22;MinAmbiente;17;1.48;0.9;21.4;22.1;5.7;43.5;14.0;;;50.0
2025-11-20;16:22;San Cristobal;24;0.53;0.9;-9999.0;-9999.0;14.0;-9999.0;16.0;1.0;2.2;30.0
2025-11-20;16:22;Movil 7ma;26;-9999.0;;;;;;34.6;;;58.4
2025-11-20;16:22;Bolivia;27;0.88;;21.3;4.2;10.8;25.5;19.6;;;71.8
2025-11-20;16:22;Fontibon;30;0.27;-9999.0;12.3;2.6;17.5;15.0;20.0;4.1;1.9;-9999.0
2025-11-20;16:22;Usme;32;0.38;2.5;17.3;5.1;21.2;22.4;5.1;;;48.6
2025-11-20;16:22;Jazmin;34;0.5;1.2;23.2;8.8;8.5;32.0;12.6;;;42.5
2025-11-20;16:22;Ciudad Bolivar;37;0.45;1.2;24.3;20.3;19.3;44.6;18.1;4.9;3.0;33.4
2025-11-20;16:22;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;16:22;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;12.7;;;70.7
2025-11-20;17:21;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;10.4;;;31.6
2025-11-20;17:21;Carvajal - Sevillana;3;1.3;1.0;;;;;26.0;;;4.0
2025-11-20;17:21;Tunal;4;-9999.0;1.8;22.6;47.8;2.8;70.4;0.0;6.1;8.9;46.0
2025-11-20;17:21;Centro de Alto Rendimiento;5;0.85;1.0;19.1;28.2;0.0;47.3;16.9;6.3;6.0;33.9
2025-11-20;17:21;Las Ferias;6;1.44;;38.0;51.9;1.1;89.8;15.0;;;25.8
2025-11-20;17:21;Guaymaral;8;0.88;1.2;38.6;34.8;3.6;73.4;20.0;;;34.0
2025-11-20;17:21;Kennedy;9;1.56;1.5;35.0;32.3;3.4;67.3;13.2;10.8;6.9;27.1
2025-11-20;17:21;Suba;11;1.05;0.9;30.6;17.2;2.8;47.9;20.0;;;30.1
2025-11-20;17:21;Puente Aranda;13;1.12;1.5;34.5;49.3;1.7;83.6;17.0;0.1;-9999.0;28.4
2025-11-20;17:21;MinAmbiente;17;1.75;1.1;27.6;55.6;0.9;83.2;21.0;;;37.0
2025-11-20;17:21;San Cristobal;24;0.9;1.2;-9999.0;-9999.0;3.8;-9999.0;20.0;3.4;2.5;29.0
2025-11-20;17:21;Movil 7ma;26;-9999.0;;;;;;23.4;;;70.8
2025-11-20;17:21;Bolivia;27;1.01;;27.9;13.4;2.6;41.3;21.1;;;61.2
2025-11-20;17:21;Fontibon;30;0.8;-9999.0;26.9;22.7;1.9;49.8;21.0;4.9;5.4;-9999.0
2025-11-20;17:21;Usme;32;0.65;1.8;29.9;14.5;6.9;44.5;4.6;;;34.1
2025-11-20;17:21;Jazmin;34;0.86;1.1;31.4;22.6;2.3;54.0;13.3;;;33.5
2025-11-20;17:21;Ciudad Bolivar;37;0.53;0.7;31.2;22.3;9.9;53.5;13.3;6.4;4.0;28.9
2025-11-20;17:21;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;17:21;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;9.2;;;50.1
2025-11-20;18:22;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;10.5;;;22.3
2025-11-20;18:22;Carvajal - Sevillana;3;1.72;0.9;;;;;44.0;;;51.0
2025-11-20;18:22;Tunal;4;-9999.0;2.0;23.4;52.9;1.6;76.3;0.0;3.2;8.5;25.0
2025-11-20;18:22;Centro de Alto Rendimiento;5;1.54;1.5;23.1;64.0;0.0;87.0;25.8;9.2;15.9;28.0
2025-11-20;18:22;Las Ferias;6;1.86;;38.1;76.6;0.6;114.6;26.0;;;25.0
2025-11-20;18:22;Guaymaral;8;0.75;0.8;36.3;18.7;2.7;54.9;18.0;;;32.0
2025-11-20;18:22;Kennedy;9;1.85;1.5;38.1;28.5;2.2;66.6;13.8;11.0;7.0;23.6
2025-11-20;18:22;Suba;11;0.94;0.8;31.5;15.3;2.7;46.8;28.0;;;24.6
2025-11-20;18:22;Puente Aranda;13;1.3;1.5;35.4;50.0;1.0;85.0;12.0;0.1;-9999.0;19.7
2025-11-20;18:22;MinAmbiente;17;1.88;0.9;31.3;51.8;0.8;83.0;25.0;;;41.0
2025-11-20;18:22;San Cristobal;24;1.3;1.2;-9999.0;-9999.0;0.7;-9999.0;22.0;4.1;3.4;28.0
2025-11-20;18:22;Movil 7ma;26;-9999.0;;;;;;16.7;;;39.4
2025-11-20;18:22;Bolivia;27;1.35;;31.7;33.3;0.8;65.0;25.9;;;49.8
2025-11-20;18:22;Fontibon;30;0.7;-9999.0;24.1;12.2;1.4;36.4;15.0;6.7;5.3;-9999.0
2025-11-20;18:22;Usme;32;0.77;1.6;34.0;18.7;3.3;52.6;8.5;;;26.4
2025-11-20;18:22;Jazmin;34;1.44;1.4;38.4;45.5;0.5;83.8;11.0;;;28.4
2025-11-20;18:22;Ciudad Bolivar;37;0.56;0.7;27.2;21.5;11.7;48.7;9.8;8.6;4.6;24.4
2025-11-20;18:22;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;18:22;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;19.1;;;48.6
2025-11-20;20:53;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;15.2;;;51.5
