Fecha;Hora;name;stationId;Humedad;Rad Solar;Vel Viento;Temperatura;Presion Baro;Temperatura 8M;Dir Viento;Lluvia
2025-11-16;06:17;Centro de Alto Rendimiento;5;87.0;0.0;0.1;10.0;565.0;;349.0;1.4
2025-11-16;06:17;Las Ferias;6;84.0;;0.3;11.2;564.0;;122.0;5.4
2025-11-16;06:17;Guaymaral;8;85.0;0.0;1.6;11.7;564.0;11.6;170.0;0.4
2025-11-16;06:17;Kennedy;9;90.0;1.0;0.9;;;;229.0;0.1
2025-11-16;06:17;Suba;11;;;0.9;11.7;;;170.0;1.5
2025-11-16;06:17;Puente Aranda;13;100.0;1.0;0.9;12.3;563.0;;166.0;0.5
2025-11-16;06:17;MinAmbiente;17;;;-9999.0;;;;-9999.0;1.7
2025-11-16;06:17;San Cristobal;24;90.0;0.0;1.2;10.7;;;114.0;0.0
2025-11-16;06:17;Movil 7ma;26;78.0;0.0;0.3;7.9;562.0;;232.0;2.8
2025-11-16;06:17;Bolivia;27;96.0;1.0;0.9;11.8;565.0;;198.0;1.0
2025-11-16;06:17;Fontibon;30;93.0;;0.7;11.7;564.0;;190.0;1.1
2025-11-16;06:17;Usme;32;;0.0;;12.3;562.0;;;0.0
2025-11-16;06:17;Jazmin;34;100.0;0.0;0.9;12.2;564.0;;125.0;0.2
2025-11-16;06:17;Ciudad Bolivar;37;;0.0;;11.7;557.0;;;0.0
2025-11-16;06:17;Colina;38;;53.0;0.9;14.8;562.0;;271.0;0.3
2025-11-16;06:17;Movil Fontibon;39;;1.0;;12.3;564.0;;;
2025-11-16;07:43;Usaquen;1;;;1;11.1;;;164;0.5
2025-11-16;07:43;Carvajal - Sevillana;3;;;1.2;12.4;;;159;0.3
2025-11-16;07:43;Tunal;4;87;18;1.1;;564;;64;0.3
2025-11-16;07:43;Centro de Alto Rendimiento;5;87;17;0.3;10.3;565;;127;1.7
2025-11-16;07:43;Las Ferias;6;85;;0.5;11.4;564;;155;1
2025-11-16;07:43;Guaymaral;8;86;1;1.3;11.8;564;11.6;164;0.1
2025-11-16;07:43;Kennedy;9;89.9;12;0.8;;;;118;0
2025-11-16;07:43;Suba;11;;;1.1;11.6;;;162;0.2
2025-11-16;07:43;Puente Aranda;13;100;19;1;12.4;564;;90;0.9
2025-11-16;07:43;MinAmbiente;17;;;-9999;;;;-9999;1.8
2025-11-16;07:43;San Cristobal;24;91;12;1;10.6;;;87;1.6
2025-11-16;07:43;Movil 7ma;26;78.9;19;0.3;7.8;562;;312;2.6
2025-11-16;07:43;Bolivia;27;97;34;1.1;11.9;565;;221;0.3
2025-11-16;07:43;Fontibon;30;93;;0.2;11.8;565;;109;0.6
2025-11-16;07:43;Usme;32;;7;;12.2;562;;;1.1
2025-11-16;07:43;Jazmin;34;100;20;0.9;12.3;564;;101;0.6
2025-11-16;07:43;Ciudad Bolivar;37;;11;;11.8;558;;;0
2025-11-16;07:43;Colina;38;;53;0.9;14.8;562;;271;0.3
2025-11-16;07:43;Movil Fontibon;39;;26;;12.4;565;;;
