Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Vel Viento;Rad Solar;Presion Baro;Lluvia;Temperatura 8M
2025-10-25;07:42;Jazmin;34;13.4;289.0;90.0;0.8;68.0;564.0;0.0;
2025-10-25;07:42;Ciudad Bolivar;37;12.2;;;;42.0;558.0;0.0;
2025-10-25;07:42;Colina;38;14.8;271.0;;0.9;53.0;562.0;0.3;
2025-10-25;07:42;Movil Fontibon;39;13.1;;;;75.0;565.0;;
2025-10-25;08:25;Usaquen;1;14.2;326;;1.1;;;0;
2025-10-25;08:25;Carvajal - Sevillana;3;15.6;56;;1;;;0;
2025-10-25;08:25;Tunal;4;;202;73;0.7;178;564;0;
2025-10-25;08:25;Centro de Alto Rendimiento;5;13.3;3;75;0.6;147;566;0;
2025-10-25;08:25;Las Ferias;6;14.9;355;68;0.4;;565;0;
2025-10-25;08:25;Guaymaral;8;14.2;282;77;0.9;76;565;0;13.8
2025-10-25;08:25;Kennedy;9;;335;83.4;1;164;;0;
2025-10-25;08:25;Suba;11;13.2;14;;1;;;0;
2025-10-25;08:25;Puente Aranda;13;14.3;263;87;1;134;565;0;
2025-10-25;08:25;MinAmbiente;17;;-9999;;-9999;;;0;
2025-10-25;08:25;San Cristobal;24;13.3;56;77;0.1;86;;0;
2025-10-25;08:25;Movil 7ma;26;14.9;254;68.2;0;118;563;0;
2025-10-25;08:25;Bolivia;27;13.6;24;84;1.1;186;566;0;
2025-10-25;08:25;Fontibon;30;13.9;15;81;1;;565;0;
2025-10-25;08:25;Usme;32;14.2;;;;145;563;0;
2025-10-25;08:25;Jazmin;34;14.5;291;84;0.6;202;565;0;
2025-10-25;08:25;Ciudad Bolivar;37;13.5;;;;156;558;0;
2025-10-25;08:25;Colina;38;14.8;271;;0.9;53;562;0.3;
2025-10-25;08:25;Movil Fontibon;39;14.2;;;;193;566;;
