Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Presion Baro;Temperatura 8M;Lluvia;Rad Solar;Vel Viento
2025-12-22;08:37;Puente Aranda;13;15.3;82.0;79.0;563.0;;0.0;209.0;1.2
2025-12-22;08:37;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;08:37;San Cristobal;24;14.3;75.0;70.0;;;0.0;168.0;0.5
2025-12-22;08:37;Movil 7ma;26;15.2;266.0;65.1;562.0;;0.0;177.0;0.3
2025-12-22;08:37;Bolivia;27;13.7;52.0;83.0;565.0;;0.0;233.0;1.5
2025-12-22;08:37;Fontibon;30;15.0;55.0;72.0;564.0;;0.0;;1.8
2025-12-22;08:37;Usme;32;15.3;;;562.0;;0.0;261.0;
2025-12-22;08:37;Jazmin;34;15.6;335.0;73.0;564.0;;0.0;311.0;1.1
2025-12-22;08:37;Ciudad Bolivar;37;14.6;;;557.0;;0.0;211.0;
2025-12-22;08:37;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;08:37;Movil Fontibon;39;15.0;;;565.0;;;239.0;
2025-12-22;09:26;Usaquen;1;16.2;119.0;;;;0.0;;3.1
2025-12-22;09:26;Carvajal - Sevillana;3;19.4;224.0;;;;0.0;;0.6
2025-12-22;09:26;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;09:26;Centro de Alto Rendimiento;5;19.0;341.0;56.0;565.0;;0.0;317.0;2.1
2025-12-22;09:26;Las Ferias;6;18.5;316.0;53.0;564.0;;0.0;;0.9
2025-12-22;09:26;Guaymaral;8;17.6;332.0;64.0;564.0;16.3;0.0;317.0;1.9
2025-12-22;09:26;Kennedy;9;;193.0;65.2;;;0.0;226.0;1.0
2025-12-22;09:26;Suba;11;15.8;358.0;;;;0.0;;2.6
2025-12-22;09:26;Puente Aranda;13;16.7;234.0;68.0;564.0;;0.0;285.0;1.4
2025-12-22;09:26;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;09:26;San Cristobal;24;17.3;35.0;53.0;;;0.0;341.0;0.3
2025-12-22;09:26;Movil 7ma;26;17.9;78.0;53.5;562.0;;0.0;366.0;0.7
2025-12-22;09:26;Bolivia;27;15.2;42.0;76.0;565.0;;0.0;355.0;1.8
2025-12-22;09:26;Fontibon;30;15.8;5.0;68.0;564.0;;0.0;;2.2
2025-12-22;09:26;Usme;32;17.2;;;562.0;;0.0;370.0;
