Fecha;Hora;name;stationId;NOX;PM25;eBC;NO;NO2;PM10;CO;BBP;OZONO;SO2
2025-12-14;07:48;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;07:48;Movil Fontibon;39;-9999.0;19.0;;-9999.0;-9999.0;58.9;-9999.0;;;
2025-12-14;08:30;Usaquen;1;-9999.0;10.3;;-9999.0;-9999.0;35.2;-9999.0;;-9999.0;-9999.0
2025-12-14;08:30;Carvajal - Sevillana;3;;48.0;;;;134.0;1.43;;;10.2
2025-12-14;08:30;Tunal;4;69.8;0.0;6.0;59.3;10.5;51.0;-9999.0;5.9;3.6;3.3
2025-12-14;08:30;Centro de Alto Rendimiento;5;61.8;41.5;7.1;48.3;13.5;48.8;0.87;2.6;-9999.0;0.1
2025-12-14;08:30;Las Ferias;6;55.9;14.0;;39.8;16.1;1.4;0.76;;2.8;
2025-12-14;08:30;Guaymaral;8;35.9;15.0;;25.1;10.9;17.0;0.36;;1.8;1.4
2025-12-14;08:30;Kennedy;9;83.1;27.9;6.2;57.3;25.8;40.8;1.21;13.4;1.6;3.6
2025-12-14;08:30;Suba;11;23.9;17.0;;16.6;7.3;28.3;0.42;;1.9;0.6
2025-12-14;08:30;Puente Aranda;13;152.9;22.1;-9999.0;123.9;28.9;50.4;1.33;0.1;1.7;5.1
2025-12-14;08:30;MinAmbiente;17;39.7;8.0;;28.7;11.0;26.0;0.83;;3.3;0.9
2025-12-14;08:30;San Cristobal;24;-9999.0;7.0;1.4;-9999.0;-9999.0;28.0;0.77;4.4;3.7;0.9
2025-12-14;08:30;Movil 7ma;26;;9.7;;;;47.4;-9999.0;;;
2025-12-14;08:30;Bolivia;27;-0.1;19.0;;0.3;-0.5;43.7;0.63;;1.7;
2025-12-14;08:30;Fontibon;30;89.9;34.0;6.6;56.8;33.1;-9999.0;0.94;9.4;4.8;-9999.0
2025-12-14;08:30;Usme;32;48.8;13.6;;31.1;17.7;49.1;0.75;;4.6;3.8
2025-12-14;08:30;Jazmin;34;168.8;18.2;;131.2;37.6;41.2;1.85;;1.3;2.9
2025-12-14;08:30;Ciudad Bolivar;37;97.6;20.5;6.8;68.3;29.3;74.5;0.56;8.3;3.3;5.1
2025-12-14;08:30;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;08:30;Movil Fontibon;39;-9999.0;23.3;;-9999.0;-9999.0;77.3;-9999.0;;;
2025-12-14;09:22;Usaquen;1;-9999.0;11.4;;-9999.0;-9999.0;35.2;-9999.0;;-9999.0;-9999.0
2025-12-14;09:22;Carvajal - Sevillana;3;;60.0;;;;145.0;1.48;;;6.8
2025-12-14;09:22;Tunal;4;100.8;0.0;11.4;77.9;23.0;66.0;-9999.0;3.2;7.9;4.0
2025-12-14;09:22;Centro de Alto Rendimiento;5;54.8;31.2;6.7;34.4;20.4;41.0;0.85;6.3;-9999.0;1.2
2025-12-14;09:22;Las Ferias;6;51.8;23.0;;30.3;21.6;1.4;0.73;;9.9;
2025-12-14;09:22;Guaymaral;8;27.6;26.0;;16.7;10.9;27.0;0.33;;6.1;1.3
2025-12-14;09:22;Kennedy;9;89.1;31.5;6.7;50.7;38.4;49.1;1.28;8.4;8.7;4.6
2025-12-14;09:22;Suba;11;22.1;24.0;;14.8;7.3;38.4;0.41;;3.6;0.8
2025-12-14;09:22;Puente Aranda;13;117.6;29.4;-9999.0;81.3;37.1;87.2;1.0;0.1;3.1;2.9
2025-12-14;09:22;MinAmbiente;17;70.8;30.0;;43.7;27.1;72.0;1.23;;9.8;1.6
2025-12-14;09:22;San Cristobal;24;-9999.0;9.0;2.7;-9999.0;-9999.0;33.0;0.97;5.4;8.2;1.0
2025-12-14;09:22;Movil 7ma;26;;17.5;;;;36.0;-9999.0;;;
2025-12-14;09:22;Bolivia;27;-0.1;25.8;;0.3;-0.4;50.2;0.56;;4.1;
2025-12-14;09:22;Fontibon;30;64.0;29.0;4.4;37.8;26.2;-9999.0;0.77;5.5;9.0;-9999.0
2025-12-14;09:22;Usme;32;62.3;12.1;;32.5;29.8;39.7;1.04;;11.1;3.6
2025-12-14;09:22;Jazmin;34;152.8;22.5;;96.9;55.9;68.6;1.48;;4.3;3.8
2025-12-14;09:22;Ciudad Bolivar;37;126.9;24.8;9.3;74.9;51.9;79.3;0.89;6.3;8.9;5.5
2025-12-14;09:22;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;09:22;Movil Fontibon;39;-9999.0;32.2;;-9999.0;-9999.0;80.3;-9999.0;;;
2025-12-14;10:23;Usaquen;1;-9999.0;13.7;;-9999.0;-9999.0;35.3;-9999.0;;-9999.0;-9999.0
2025-12-14;10:23;Carvajal - Sevillana;3;;53.0;;;;137.0;1.18;;;5.4
2025-12-14;10:23;Tunal;4;68.0;0.0;8.1;43.4;24.7;97.0;-9999.0;7.1;16.8;2.8
2025-12-14;10:23;Centro de Alto Rendimiento;5;40.0;23.3;5.6;19.4;20.7;31.5;0.69;8.8;-9999.0;1.4
2025-12-14;10:23;Las Ferias;6;35.8;19.0;;16.4;19.3;1.3;0.6;;21.7;
2025-12-14;10:23;Guaymaral;8;11.6;12.0;;3.5;8.1;33.0;0.2;;18.2;1.1
2025-12-14;10:23;Kennedy;9;51.6;33.5;4.1;22.5;29.1;53.0;0.85;8.6;20.6;3.2
2025-12-14;10:23;Suba;11;14.8;18.0;;7.5;7.4;41.9;0.36;;10.3;1.1
2025-12-14;10:23;Puente Aranda;13;73.3;30.2;-9999.0;40.1;33.3;105.6;0.65;0.1;7.5;1.9
2025-12-14;10:23;MinAmbiente;17;51.4;19.0;;24.4;27.0;39.0;0.96;;17.4;1.3
2025-12-14;10:23;San Cristobal;24;-9999.0;18.0;4.0;-9999.0;-9999.0;50.0;1.15;4.6;16.8;1.4
2025-12-14;10:23;Movil 7ma;26;;24.3;;;;20.4;-9999.0;;;
2025-12-14;10:23;Bolivia;27;-0.1;22.5;;0.3;-0.4;50.1;0.41;;10.4;
2025-12-14;10:23;Fontibon;30;38.1;18.0;2.9;17.4;20.7;-9999.0;0.58;4.0;17.4;-9999.0
2025-12-14;10:23;Usme;32;28.7;23.5;;11.3;17.4;60.9;0.52;;17.3;1.7
2025-12-14;10:23;Jazmin;34;87.1;36.1;;40.7;46.4;79.5;0.92;;11.3;2.1
2025-12-14;10:23;Ciudad Bolivar;37;119.0;28.2;8.4;54.0;65.0;76.3;0.83;6.1;21.4;4.0
2025-12-14;10:23;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;10:23;Movil Fontibon;39;-9999.0;33.8;;-9999.0;-9999.0;51.0;-9999.0;;;
2025-12-14;11:29;Usaquen;1;-9999.0;17.6;;-9999.0;-9999.0;35.3;-9999.0;;-9999.0;-9999.0
2025-12-14;11:29;Carvajal - Sevillana;3;;49.0;;;;77.0;0.9;;;3.3
2025-12-14;11:29;Tunal;4;17.4;0.0;1.9;10.2;7.2;66.0;-9999.0;5.3;17.1;0.9
2025-12-14;11:29;Centro de Alto Rendimiento;5;25.5;16.8;3.5;8.8;16.6;39.2;0.49;7.0;-9999.0;1.6
2025-12-14;11:29;Las Ferias;6;18.6;14.0;;6.4;12.2;1.3;0.37;;30.4;
2025-12-14;11:29;Guaymaral;8;5.6;8.0;;1.0;4.5;34.0;0.1;;24.0;1.2
2025-12-14;11:29;Kennedy;9;40.9;29.9;3.4;13.4;27.5;50.6;0.76;8.3;31.0;2.1
2025-12-14;11:29;Suba;11;4.2;5.0;;1.5;2.8;47.9;0.24;;15.1;1.1
2025-12-14;11:29;Puente Aranda;13;51.0;32.6;-9999.0;20.2;30.8;107.4;0.4;0.1;11.2;1.6
2025-12-14;11:29;MinAmbiente;17;35.2;17.0;;11.2;24.0;37.0;0.75;;25.4;1.0
2025-12-14;11:29;San Cristobal;24;-9999.0;29.0;2.5;-9999.0;-9999.0;21.0;0.45;3.6;17.1;0.9
2025-12-14;11:29;Movil 7ma;26;;33.5;;;;18.9;-9999.0;;;
2025-12-14;11:29;Bolivia;27;-0.1;22.3;;0.3;-0.4;60.7;0.35;;12.8;
2025-12-14;11:29;Fontibon;30;14.7;9.0;1.1;5.5;9.1;-9999.0;0.35;10.0;25.0;-9999.0
2025-12-14;11:29;Usme;32;8.4;24.4;;4.1;4.3;41.7;0.15;;16.8;1.9
2025-12-14;11:29;Jazmin;34;53.1;35.0;;16.6;36.5;74.7;0.66;;21.3;1.7
2025-12-14;11:29;Ciudad Bolivar;37;50.5;40.3;3.7;22.1;28.4;81.0;0.09;7.0;23.3;2.1
2025-12-14;11:29;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;11:29;Movil Fontibon;39;-9999.0;35.5;;-9999.0;-9999.0;40.3;-9999.0;;;
2025-12-14;12:20;Usaquen;1;-9999.0;15.1;;-9999.0;-9999.0;35.4;-9999.0;;-9999.0;-9999.0
2025-12-14;12:20;Carvajal - Sevillana;3;;31.0;;;;67.0;0.65;;;2.2
2025-12-14;12:20;Tunal;4;9.2;0.0;0.8;6.7;2.5;23.0;-9999.0;8.9;14.6;0.8
2025-12-14;12:20;Centro de Alto Rendimiento;5;18.8;12.8;2.7;4.7;14.1;35.8;0.41;6.8;-9999.0;1.8
2025-12-14;12:20;Las Ferias;6;13.5;13.0;;5.1;8.3;1.3;0.29;;26.0;
2025-12-14;12:20;Guaymaral;8;6.7;5.0;;2.7;4.0;23.0;0.08;;17.6;0.8
2025-12-14;12:20;Kennedy;9;31.4;27.0;2.7;14.4;17.0;52.4;0.74;8.4;17.1;1.2
2025-12-14;12:20;Suba;11;3.8;4.0;;1.4;2.4;47.8;0.25;;15.2;0.9
2025-12-14;12:20;Puente Aranda;13;33.6;29.4;-9999.0;10.0;23.7;92.2;0.26;0.1;13.8;1.2
2025-12-14;12:20;MinAmbiente;17;21.7;13.0;;7.6;14.2;23.0;0.54;;27.4;0.8
2025-12-14;12:20;San Cristobal;24;-9999.0;5.0;0.6;-9999.0;-9999.0;15.0;0.2;32.1;13.9;0.5
2025-12-14;12:20;Movil 7ma;26;;27.9;;;;26.0;-9999.0;;;
2025-12-14;12:20;Bolivia;27;0.0;17.4;;0.4;-0.4;43.1;0.32;;14.4;
2025-12-14;12:20;Fontibon;30;17.1;7.0;1.6;4.3;12.8;-9999.0;0.46;6.8;30.0;-9999.0
