Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Dir Viento;Lluvia;Temperatura;Presion Baro;Rad Solar;Vel Viento
2025-11-08;10:21;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;10:21;Suba;11;;;343.0;0.0;19.2;;;2.0
2025-11-08;10:21;Puente Aranda;13;54.0;;276.0;0.0;18.3;564.0;408.0;1.2
2025-11-08;10:21;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;10:21;San Cristobal;24;52.0;;24.0;0.0;17.4;;281.0;0.7
2025-11-08;10:21;Movil 7ma;26;37.4;;232.0;0.0;15.4;562.0;676.0;0.3
2025-11-08;10:21;Bolivia;27;62.0;;55.0;0.0;17.5;565.0;732.0;1.7
2025-11-08;10:21;Fontibon;30;47.0;;21.0;0.0;19.1;565.0;;0.5
2025-11-08;10:21;Usme;32;;;;0.0;17.7;562.0;320.0;
2025-11-08;10:21;Jazmin;34;51.0;;284.0;0.0;18.6;564.0;707.0;1.3
2025-11-08;10:21;Ciudad Bolivar;37;;;;0.0;17.7;558.0;472.0;
2025-11-08;10:21;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;10:21;Movil Fontibon;39;;;;;18.3;565.0;833.0;
2025-11-08;11:26;Usaquen;1;;;342.0;0.0;19.0;;;2.0
2025-11-08;11:26;Carvajal - Sevillana;3;;;257.0;0.0;21.9;;;1.8
2025-11-08;11:26;Tunal;4;43.0;;191.0;0.0;;563.0;968.0;1.5
2025-11-08;11:26;Centro de Alto Rendimiento;5;42.0;;20.0;0.1;20.3;565.0;648.0;1.9
2025-11-08;11:26;Las Ferias;6;41.0;;14.0;0.0;21.8;564.0;;2.0
2025-11-08;11:26;Guaymaral;8;43.0;20.0;27.0;0.0;21.6;564.0;612.0;2.1
2025-11-08;11:26;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;11:26;Suba;11;;;25.0;0.0;21.1;;;1.9
2025-11-08;11:26;Puente Aranda;13;48.0;;38.0;0.0;19.9;564.0;669.0;1.7
2025-11-08;11:26;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;11:26;San Cristobal;24;47.0;;79.0;0.0;19.2;;407.0;0.3
2025-11-08;11:26;Movil 7ma;26;35.9;;250.0;0.0;20.3;562.0;542.0;0.6
2025-11-08;11:26;Bolivia;27;60.0;;345.0;0.0;18.6;565.0;601.0;1.3
2025-11-08;11:26;Fontibon;30;44.0;;44.0;0.0;19.7;564.0;;1.4
2025-11-08;11:26;Usme;32;;;;0.0;19.2;562.0;617.0;
2025-11-08;11:26;Jazmin;34;44.0;;100.0;0.0;20.6;564.0;921.0;1.8
2025-11-08;11:26;Ciudad Bolivar;37;;;;0.0;19.2;557.0;755.0;
2025-11-08;11:26;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;11:26;Movil Fontibon;39;;;;;19.5;565.0;859.0;
2025-11-08;12:18;Usaquen;1;;;308.0;0.0;20.6;;;1.1
2025-11-08;12:18;Carvajal - Sevillana;3;;;292.0;0.0;23.6;;;0.6
2025-11-08;12:18;Tunal;4;38.0;;201.0;0.0;;563.0;775.0;1.7
2025-11-08;12:18;Centro de Alto Rendimiento;5;38.0;;69.0;0.0;20.7;564.0;645.0;1.4
2025-11-08;12:18;Las Ferias;6;39.0;;340.0;0.0;22.4;563.0;;1.5
2025-11-08;12:18;Guaymaral;8;42.0;20.4;333.0;0.0;21.7;563.0;403.0;1.9
2025-11-08;12:18;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;12:18;Suba;11;;;6.0;0.0;22.3;;;2.4
2025-11-08;12:18;Puente Aranda;13;44.0;;130.0;0.0;21.1;563.0;847.0;1.6
2025-11-08;12:18;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;12:18;San Cristobal;24;43.0;;165.0;0.0;20.6;;503.0;0.9
2025-11-08;12:18;Movil 7ma;26;32.6;;166.0;0.0;17.2;562.0;715.0;2.1
2025-11-08;12:18;Bolivia;27;55.0;;42.0;0.0;19.9;564.0;778.0;1.6
2025-11-08;12:18;Fontibon;30;41.0;;42.0;0.0;20.8;564.0;;1.7
2025-11-08;12:18;Usme;32;;;;0.0;20.1;561.0;479.0;
2025-11-08;12:18;Jazmin;34;39.0;;129.0;0.0;21.7;563.0;1201.0;2.1
2025-11-08;12:18;Ciudad Bolivar;37;;;;0.0;20.1;557.0;839.0;
2025-11-08;12:18;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;12:18;Movil Fontibon;39;;;;;20.9;564.0;870.0;
2025-11-08;13:30;Usaquen;1;;;60.0;0.0;21.7;;;0.3
2025-11-08;13:30;Carvajal - Sevillana;3;;;290.0;0.0;24.7;;;3.4
2025-11-08;13:30;Tunal;4;38.0;;208.0;0.0;;562.0;692.0;1.8
2025-11-08;13:30;Centro de Alto Rendimiento;5;34.0;;117.0;0.0;21.5;564.0;751.0;2.0
2025-11-08;13:30;Las Ferias;6;37.0;;13.0;0.0;23.2;562.0;;1.4
2025-11-08;13:30;Guaymaral;8;42.0;20.4;333.0;0.0;21.7;563.0;403.0;1.9
2025-11-08;13:30;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;13:30;Suba;11;;;22.0;0.0;23.0;;;2.6
2025-11-08;13:30;Puente Aranda;13;40.0;;104.0;0.0;22.0;562.0;548.0;1.9
2025-11-08;13:30;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;13:30;San Cristobal;24;42.0;;130.0;0.0;20.7;;363.0;1.9
2025-11-08;13:30;Movil 7ma;26;30.1;;201.0;0.0;21.3;561.0;872.0;1.0
2025-11-08;13:30;Bolivia;27;53.0;;316.0;0.0;20.9;563.0;525.0;1.6
