Fecha;Hora;name;stationId;NO;PM10;NOX;CO;eBC;PM25;NO2;SO2;BBP;OZONO
2026-01-02;05:27;Kennedy;9;14.1;20.0;29.7;0.65;-9999.0;7.5;15.7;0.7;-9999.0;1.4
2026-01-02;05:27;Suba;11;13.6;9.3;25.2;0.28;;9.0;11.6;0.6;;1.0
2026-01-02;05:27;Puente Aranda;13;13.3;0.7;28.9;0.18;2.0;2.9;15.6;1.1;6.6;1.0
2026-01-02;05:27;MinAmbiente;17;4.3;7.0;9.5;0.3;;4.0;5.2;0.5;;6.4
2026-01-02;05:27;San Cristobal;24;1.3;21.0;1.5;0.31;0.6;6.0;0.1;1.1;4.0;2.4
2026-01-02;05:27;Movil 7ma;26;;16.4;;-9999.0;;1.6;;;;
2026-01-02;05:27;Bolivia;27;-9999.0;14.0;-9999.0;-9999.0;;3.5;-9999.0;;;-9999.0
2026-01-02;05:27;Fontibon;30;9.0;10.0;24.9;0.46;1.9;8.0;15.9;0.8;10.9;2.1
2026-01-02;05:27;Usme;32;8.4;20.1;20.2;0.27;;4.2;11.8;3.7;;2.9
2026-01-02;05:27;Jazmin;34;25.8;7.3;45.7;0.35;;5.3;19.9;1.0;;0.2
2026-01-02;05:27;Ciudad Bolivar;37;31.7;14.5;55.6;0.24;2.3;3.6;23.9;2.3;16.0;0.9
2026-01-02;05:27;Colina;38;1.8;0.0;7.5;0.35;;0.0;5.8;0.8;;14.8
2026-01-02;05:27;Movil Fontibon;39;-9999.0;20.9;-9999.0;-9999.0;;4.2;-9999.0;;;
2026-01-02;06:22;Usaquen;1;-9999.0;11.1;-9999.0;-9999.0;;3.7;-9999.0;-9999.0;;-9999.0
2026-01-02;06:22;Carvajal - Sevillana;3;;55.0;;1.03;;27.0;;1.5;;
2026-01-02;06:22;Tunal;4;74.2;37.0;82.0;-9999.0;5.7;17.0;7.8;3.4;6.0;1.3
2026-01-02;06:22;Centro de Alto Rendimiento;5;5.7;9.4;14.4;0.23;2.2;8.9;8.6;0.7;9.1;-9999.0
2026-01-02;06:22;Las Ferias;6;11.3;6.5;26.5;0.31;;7.0;15.2;;;1.0
2026-01-02;06:22;Guaymaral;8;29.2;23.0;39.1;0.46;;10.0;9.8;1.1;;0.5
2026-01-02;06:22;Kennedy;9;20.5;26.2;37.0;0.76;-9999.0;6.5;16.5;0.8;-9999.0;1.5
2026-01-02;06:22;Suba;11;19.7;10.5;31.5;0.41;;12.0;11.8;0.7;;0.7
2026-01-02;06:22;Puente Aranda;13;32.5;0.7;48.0;0.39;3.5;2.8;15.6;1.2;6.1;0.7
2026-01-02;06:22;MinAmbiente;17;13.6;18.0;23.0;0.58;;8.0;9.4;0.7;;2.3
2026-01-02;06:22;San Cristobal;24;1.4;20.0;1.5;0.43;1.6;6.0;0.1;1.4;4.8;0.1
2026-01-02;06:22;Movil 7ma;26;;11.1;;-9999.0;;1.6;;;;
2026-01-02;06:22;Bolivia;27;-9999.0;20.5;-9999.0;-9999.0;;3.9;-9999.0;;;-9999.0
2026-01-02;06:22;Fontibon;30;16.9;10.1;30.7;0.49;3.0;8.0;13.8;1.5;4.4;1.7
2026-01-02;06:22;Usme;32;42.6;37.3;59.9;0.51;;4.3;17.3;2.9;;1.1
2026-01-02;06:22;Jazmin;34;43.9;15.5;64.2;0.54;;5.4;20.3;1.1;;0.2
2026-01-02;06:22;Ciudad Bolivar;37;36.6;23.8;61.6;0.4;2.9;3.4;24.9;1.9;15.8;0.8
2026-01-02;06:22;Colina;38;1.8;0.0;7.5;0.35;;0.0;5.8;0.8;;14.8
2026-01-02;06:22;Movil Fontibon;39;-9999.0;33.8;-9999.0;-9999.0;;6.3;-9999.0;;;
2026-01-02;07:52;Usaquen;1;-9999.0;10.2;-9999.0;-9999.0;;5.5;-9999.0;-9999.0;;-9999.0
2026-01-02;07:52;Carvajal - Sevillana;3;;55.0;;1.03;;27.0;;1.5;;
2026-01-02;07:52;Tunal;4;89.7;45.0;98.1;-9999.0;6.7;30.0;8.5;3.9;8.8;1.3
2026-01-02;07:52;Centro de Alto Rendimiento;5;22.1;10.1;31.4;0.45;4.7;8.0;9.3;0.8;9.6;-9999.0
2026-01-02;07:52;Las Ferias;6;41.9;6.1;58.0;0.66;;7.0;16.2;;;0.7
2026-01-02;07:52;Guaymaral;8;35.0;30.0;44.4;0.54;;20.0;9.4;1.5;;0.8
2026-01-02;07:52;Kennedy;9;38.1;19.5;55.5;1.09;-9999.0;6.5;17.4;0.7;-9999.0;1.8
2026-01-02;07:52;Suba;11;14.7;25.8;25.2;0.34;;19.0;10.5;0.7;;0.9
2026-01-02;07:52;Puente Aranda;13;62.7;2.0;78.1;0.85;7.3;2.8;15.5;1.5;2.6;1.1
2026-01-02;07:52;MinAmbiente;17;31.0;25.0;42.0;0.99;;4.0;11.0;0.8;;1.6
2026-01-02;07:52;San Cristobal;24;1.4;13.0;1.5;0.53;1.7;10.0;0.1;1.3;5.8;1.0
2026-01-02;07:52;Movil 7ma;26;;26.5;;-9999.0;;1.6;;;;
2026-01-02;07:52;Bolivia;27;-9999.0;16.7;-9999.0;-9999.0;;5.4;-9999.0;;;-9999.0
2026-01-02;07:52;Fontibon;30;28.7;23.0;42.7;0.71;4.4;14.0;14.1;1.6;3.1;1.9
2026-01-02;07:52;Usme;32;32.5;54.1;45.4;0.57;;6.2;13.0;4.5;;1.8
2026-01-02;07:52;Jazmin;34;67.7;20.7;89.2;0.85;;5.3;21.5;1.7;;0.4
2026-01-02;07:52;Ciudad Bolivar;37;98.0;39.1;126.6;0.86;5.6;3.4;28.6;1.9;13.4;1.0
2026-01-02;07:52;Colina;38;1.8;0.0;7.5;0.35;;0.0;5.8;0.8;;14.8
2026-01-02;07:52;Movil Fontibon;39;-9999.0;26.4;-9999.0;-9999.0;;6.1;-9999.0;;;
2026-01-02;08:35;Usaquen;1;-9999;12.2;-9999;-9999;;7.4;-9999;-9999;;-9999
2026-01-02;08:35;Carvajal - Sevillana;3;;55;;1.03;;27;;1.5;;
2026-01-02;08:35;Tunal;4;94;89;103.3;-9999;9.1;28;9.3;6.2;2.4;2.4
2026-01-02;08:35;Centro de Alto Rendimiento;5;35.6;15.6;48.2;0.72;7.3;6.2;12.6;1.1;7.2;-9999
2026-01-02;08:35;Las Ferias;6;35.7;6.1;51.1;0.64;;15;15.4;;;2.8
2026-01-02;08:35;Guaymaral;8;20;28;29.3;0.53;;17;9.3;1.5;;2.3
2026-01-02;08:35;Kennedy;9;48.4;20.5;68.8;1.28;-9999;18.8;20.4;1.6;-9999;2.9
2026-01-02;08:35;Suba;11;18.3;40;27.1;0.41;;20;8.8;1.7;;1.9
2026-01-02;08:35;Puente Aranda;13;94.4;6;120.1;1.21;10.4;3.5;26.3;2;2;1.3
2026-01-02;08:35;MinAmbiente;17;43.1;34;59.3;1.01;;11;16.2;1.1;;2.6
2026-01-02;08:35;San Cristobal;24;1.4;46;1.4;1.02;2.5;8;0.1;2.2;7.6;1.4
2026-01-02;08:35;Movil 7ma;26;;27.2;;-9999;;1.7;;;;
2026-01-02;08:35;Bolivia;27;-9999;33;-9999;-9999;;5.1;-9999;;;-9999
2026-01-02;08:35;Fontibon;30;45.3;27;68;0.81;5.7;14;22.7;2.1;6.5;2.4
2026-01-02;08:35;Usme;32;43.7;48.7;61.9;0.79;;8.4;18.2;5.4;;2.8
2026-01-02;08:35;Jazmin;34;67.7;25.8;93.5;0.94;;5.7;25.9;2.3;;1.4
2026-01-02;08:35;Ciudad Bolivar;37;116.2;36.1;151.4;1.06;-9999;3.3;35.2;4.7;-9999;2.2
2026-01-02;08:35;Colina;38;1.8;0;7.5;0.35;;0;5.8;0.8;;14.8
2026-01-02;08:35;Movil Fontibon;39;-9999;43.8;-9999;-9999;;12.4;-9999;;;
