Fecha;Hora;name;stationId;Humedad;Dir Viento;Temperatura 8M;Lluvia;Presion Baro;Vel Viento;Rad Solar;Temperatura
2025-11-27;06:21;Tunal;4;78.0;139.0;;0.0;562.0;0.9;3.0;
2025-11-27;06:21;Centro de Alto Rendimiento;5;74.0;69.0;;0.0;564.0;2.3;2.0;12.4
2025-11-27;06:21;Las Ferias;6;70.0;303.0;;0.0;563.0;1.1;;11.9
2025-11-27;06:21;Guaymaral;8;80.0;211.0;10.3;0.0;563.0;0.7;0.0;10.2
2025-11-27;06:21;Kennedy;9;78.8;86.0;;0.0;;1.1;2.0;
2025-11-27;06:21;Suba;11;;48.0;;0.0;;1.2;;10.4
2025-11-27;06:21;Puente Aranda;13;78.0;226.0;;0.0;563.0;0.9;2.0;13.6
2025-11-27;06:21;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;06:21;San Cristobal;24;83.0;140.0;;0.0;;0.6;0.0;10.2
2025-11-27;06:21;Movil 7ma;26;63.5;113.0;;0.0;561.0;0.4;1.0;12.8
2025-11-27;06:21;Bolivia;27;82.0;86.0;;0.0;564.0;1.8;3.0;12.3
2025-11-27;06:21;Fontibon;30;77.0;53.0;;0.0;563.0;4.1;;12.2
2025-11-27;06:21;Usme;32;;;;0.0;561.0;;2.0;12.8
2025-11-27;06:21;Jazmin;34;82.0;296.0;;0.0;563.0;0.8;2.0;12.8
2025-11-27;06:21;Ciudad Bolivar;37;;;;0.0;556.0;;0.0;12.7
2025-11-27;06:21;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;06:21;Movil Fontibon;39;;;;;564.0;;2.0;12.9
2025-11-27;07:51;Usaquen;1;;359.0;;0.0;;0.9;;11.7
2025-11-27;07:51;Carvajal - Sevillana;3;;106.0;;0.0;;0.6;;14.7
2025-11-27;07:51;Tunal;4;77.0;203.0;;0.0;562.0;0.8;98.0;
2025-11-27;07:51;Centro de Alto Rendimiento;5;69.0;31.0;;0.0;564.0;2.4;78.0;13.9
2025-11-27;07:51;Las Ferias;6;66.0;339.0;;0.0;563.0;1.5;;12.8
2025-11-27;07:51;Guaymaral;8;83.0;144.0;12.6;0.1;563.0;0.6;42.0;11.6
2025-11-27;07:51;Kennedy;9;79.6;2.0;;0.0;;0.7;27.0;
2025-11-27;07:51;Suba;11;;20.0;;0.0;;1.2;;11.2
2025-11-27;07:51;Puente Aranda;13;75.0;302.0;;0.0;563.0;1.0;65.0;14.4
2025-11-27;07:51;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;07:51;San Cristobal;24;75.0;176.0;;0.0;;0.4;23.0;11.6
2025-11-27;07:51;Movil 7ma;26;61.9;110.0;;0.0;561.0;0.5;19.0;13.1
2025-11-27;07:51;Bolivia;27;80.0;61.0;;0.0;564.0;1.8;114.0;12.7
2025-11-27;07:51;Fontibon;30;74.0;53.0;;0.0;564.0;4.8;;13.1
2025-11-27;07:51;Usme;32;;;;0.0;561.0;;75.0;13.0
2025-11-27;07:51;Jazmin;34;79.0;269.0;;0.0;563.0;0.7;99.0;13.4
2025-11-27;07:51;Ciudad Bolivar;37;;;;0.0;557.0;;80.0;13.0
2025-11-27;07:51;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;07:51;Movil Fontibon;39;;;;;564.0;;103.0;13.4
2025-11-27;08:35;Usaquen;1;;326.0;;0.0;;0.8;;14.9
2025-11-27;08:35;Carvajal - Sevillana;3;;233.0;;0.0;;0.8;;17.8
2025-11-27;08:35;Tunal;4;56.0;190.0;;0.0;563.0;1.0;343.0;
2025-11-27;08:35;Centro de Alto Rendimiento;5;52.0;39.0;;0.0;564.0;2.4;293.0;18.8
2025-11-27;08:35;Las Ferias;6;58.0;20.0;;0.0;563.0;3.0;;15.0
2025-11-27;08:35;Guaymaral;8;67.0;308.0;17.4;0.0;563.0;0.9;235.0;18.1
2025-11-27;08:35;Kennedy;9;73.6;53.0;;0.0;;1.2;48.0;
2025-11-27;08:35;Suba;11;;8.0;;0.0;;1.9;;14.2
2025-11-27;08:35;Puente Aranda;13;66.0;287.0;;0.0;563.0;1.1;248.0;15.9
2025-11-27;08:35;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;08:35;San Cristobal;24;65.0;114.0;;0.0;;1.8;283.0;13.8
2025-11-27;08:35;Movil 7ma;26;54.9;105.0;;0.0;562.0;0.6;320.0;15.5
2025-11-27;08:35;Bolivia;27;75.0;67.0;;0.0;564.0;2.4;364.0;14.2
2025-11-27;08:35;Fontibon;30;65.0;51.0;;0.0;564.0;4.6;;15.1
2025-11-27;08:35;Usme;32;;;;0.0;562.0;;330.0;15.3
2025-11-27;08:35;Jazmin;34;61.0;327.0;;0.0;563.0;0.7;371.0;16.3
2025-11-27;08:35;Ciudad Bolivar;37;;;;0.0;557.0;;301.0;15.5
2025-11-27;08:35;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;08:35;Movil Fontibon;39;;;;;564.0;;364.0;15.1
2025-11-27;09:24;Usaquen;1;;320.0;;0.0;;0.2;;17.7
2025-11-27;09:24;Carvajal - Sevillana;3;;210.0;;0.0;;0.2;;20.3
2025-11-27;09:24;Tunal;4;49.0;244.0;;0.0;563.0;1.2;613.0;
2025-11-27;09:24;Centro de Alto Rendimiento;5;46.0;64.0;;0.0;564.0;0.9;487.0;20.6
2025-11-27;09:24;Las Ferias;6;58.0;20.0;;0.0;563.0;3.0;;15.0
2025-11-27;09:24;Guaymaral;8;53.0;12.0;18.0;0.0;564.0;1.6;417.0;20.0
2025-11-27;09:24;Kennedy;9;59.2;116.0;;0.0;;1.5;248.0;
2025-11-27;09:24;Suba;11;;10.0;;0.0;;2.5;;16.7
2025-11-27;09:24;Puente Aranda;13;55.0;217.0;;0.0;563.0;1.3;272.0;17.5
2025-11-27;09:24;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;09:24;San Cristobal;24;58.0;99.0;;0.0;;2.5;474.0;15.8
2025-11-27;09:24;Movil 7ma;26;41.1;71.0;;0.0;562.0;0.3;571.0;15.4
2025-11-27;09:24;Bolivia;27;70.0;57.0;;0.0;565.0;2.2;587.0;15.9
2025-11-27;09:24;Fontibon;30;54.0;60.0;;0.0;564.0;3.5;;17.3
2025-11-27;09:24;Usme;32;;;;0.0;562.0;;547.0;17.9
2025-11-27;09:24;Jazmin;34;51.0;143.0;;0.0;563.0;2.4;644.0;18.2
2025-11-27;09:24;Ciudad Bolivar;37;;;;0.0;557.0;;498.0;16.9
2025-11-27;09:24;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;09:24;Movil Fontibon;39;;;;;564.0;;593.0;17.2
2025-11-27;10:25;Usaquen;1;;209.0;;0.0;;0.6;;20.3
2025-11-27;10:25;Carvajal - Sevillana;3;;296.0;;0.0;;0.9;;22.1
2025-11-27;10:25;Tunal;4;42.0;253.0;;0.0;563.0;1.4;812.0;
2025-11-27;10:25;Centro de Alto Rendimiento;5;43.0;140.0;;0.0;564.0;2.3;618.0;21.4
2025-11-27;10:25;Las Ferias;6;41.0;52.0;;0.0;563.0;3.4;;20.7
2025-11-27;10:25;Guaymaral;8;47.0;2.0;19.7;0.0;563.0;1.6;608.0;21.9
2025-11-27;10:25;Kennedy;9;47.7;200.0;;0.0;;1.1;746.0;
2025-11-27;10:25;Suba;11;;19.0;;0.0;;2.8;;18.9
2025-11-27;10:25;Puente Aranda;13;47.0;48.0;;0.0;563.0;1.3;538.0;19.5
2025-11-27;10:25;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;10:25;San Cristobal;24;48.0;116.0;;0.0;;2.2;613.0;18.7
2025-11-27;10:25;Movil 7ma;26;35.8;223.0;;0.0;562.0;1.1;699.0;-62.6
2025-11-27;10:25;Bolivia;27;64.0;53.0;;0.0;564.0;2.6;769.0;17.7
2025-11-27;10:25;Fontibon;30;48.0;37.0;;0.0;564.0;3.5;;18.7
2025-11-27;10:25;Usme;32;;;;0.0;562.0;;692.0;19.2
2025-11-27;10:25;Jazmin;34;43.0;139.0;;0.0;563.0;2.7;726.0;20.1
2025-11-27;10:25;Ciudad Bolivar;37;;;;0.0;557.0;;609.0;18.5
2025-11-27;10:25;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;10:25;Movil Fontibon;39;;;;;564.0;;764.0;18.9
2025-11-27;11:30;Usaquen;1;;36.0;;0.0;;0.8;;21.1
2025-11-27;11:30;Carvajal - Sevillana;3;;247.0;;0.0;;2.2;;23.5
2025-11-27;11:30;Tunal;4;40.0;162.0;;0.0;562.0;2.4;1071.0;
2025-11-27;11:30;Centro de Alto Rendimiento;5;41.0;124.0;;0.0;564.0;3.2;655.0;22.2
2025-11-27;11:30;Las Ferias;6;39.0;45.0;;0.0;563.0;3.3;;21.8
2025-11-27;11:30;Guaymaral;8;40.0;209.0;20.7;0.0;563.0;1.8;486.0;22.0
2025-11-27;11:30;Kennedy;9;34.5;170.0;;0.0;;1.5;882.0;
2025-11-27;11:30;Suba;11;;14.0;;0.0;;2.6;;21.3
2025-11-27;11:30;Puente Aranda;13;45.0;179.0;;0.0;563.0;1.7;408.0;20.6
2025-11-27;11:30;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;11:30;San Cristobal;24;45.0;160.0;;0.0;;2.5;717.0;20.1
2025-11-27;11:30;Movil 7ma;26;34.9;167.0;;0.0;561.0;1.2;738.0;-70.9
2025-11-27;11:30;Bolivia;27;64.0;53.0;;0.0;564.0;2.6;769.0;17.7
2025-11-27;11:30;Fontibon;30;40.0;70.0;;0.0;563.0;5.5;;20.3
2025-11-27;11:30;Usme;32;;;;0.0;561.0;;705.0;19.6
2025-11-27;11:30;Jazmin;34;43.0;170.0;;0.0;563.0;2.2;762.0;20.9
2025-11-27;11:30;Ciudad Bolivar;37;;;;0.0;557.0;;794.0;19.5
2025-11-27;11:30;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;11:30;Movil Fontibon;39;;;;;564.0;;620.0;20.5
2025-11-27;12:20;Usaquen;1;;49.0;;0.0;;0.9;;20.3
2025-11-27;12:20;Carvajal - Sevillana;3;;262.0;;0.0;;4.3;;21.7
2025-11-27;12:20;Tunal;4;41.0;184.0;;0.0;562.0;1.8;528.0;
2025-11-27;12:20;Centro de Alto Rendimiento;5;45.0;174.0;;0.0;564.0;3.4;438.0;21.3
2025-11-27;12:20;Las Ferias;6;39.0;53.0;;0.0;563.0;3.5;;21.7
2025-11-27;12:20;Guaymaral;8;41.0;24.0;19.8;0.0;563.0;2.3;256.0;20.9
2025-11-27;12:20;Kennedy;9;38.3;191.0;;0.0;;2.0;244.0;
2025-11-27;12:20;Suba;11;;55.0;;0.0;;1.9;;21.6
2025-11-27;12:20;Puente Aranda;13;48.0;123.0;;0.0;562.0;2.3;361.0;20.2
2025-11-27;12:20;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;12:20;San Cristobal;24;45.0;132.0;;0.0;;2.2;421.0;19.8
2025-11-27;12:20;Movil 7ma;26;37.4;282.0;;0.0;561.0;1.7;530.0;-72.4
2025-11-27;12:20;Bolivia;27;-9999.0;-9999.0;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-11-27;12:20;Fontibon;30;41.0;113.0;;0.0;563.0;3.3;;20.3
2025-11-27;12:20;Usme;32;;;;0.0;561.0;;696.0;19.5
2025-11-27;12:20;Jazmin;34;45.0;143.0;;0.0;563.0;2.3;383.0;20.2
2025-11-27;12:20;Ciudad Bolivar;37;;;;0.0;556.0;;684.0;19.4
2025-11-27;12:20;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;12:20;Movil Fontibon;39;;;;;563.0;;355.0;20.7
2025-11-27;13:33;Usaquen;1;;124.0;;0.0;;2.8;;19.1
2025-11-27;13:33;Carvajal - Sevillana;3;;232.0;;0.0;;3.8;;21.5
2025-11-27;13:33;Tunal;4;42.0;158.0;;0.0;562.0;2.2;406.0;
2025-11-27;13:33;Centro de Alto Rendimiento;5;47.0;152.0;;0.0;563.0;3.0;355.0;20.8
2025-11-27;13:33;Las Ferias;6;42.0;47.0;;0.0;562.0;4.7;;20.3
2025-11-27;13:33;Guaymaral;8;44.0;93.0;19.0;0.0;562.0;2.1;140.0;19.6
2025-11-27;13:33;Kennedy;9;45.1;187.0;;0.0;;2.0;200.0;
2025-11-27;13:33;Suba;11;;77.0;;0.0;;3.0;;20.4
2025-11-27;13:33;Puente Aranda;13;50.0;131.0;;0.0;562.0;2.4;242.0;19.9
2025-11-27;13:33;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;13:33;San Cristobal;24;50.0;118.0;;0.0;;2.8;324.0;18.6
2025-11-27;13:33;Movil 7ma;26;39.0;291.0;;0.0;561.0;2.1;426.0;-70.3
2025-11-27;13:33;Bolivia;27;56.0;97.0;;0.0;563.0;2.6;235.0;19.3
2025-11-27;13:33;Fontibon;30;43.0;106.0;;0.0;563.0;2.7;;19.6
2025-11-27;13:33;Usme;32;;;;0.0;561.0;;545.0;19.6
2025-11-27;13:33;Jazmin;34;46.0;130.0;;0.0;562.0;2.5;430.0;20.3
2025-11-27;13:33;Ciudad Bolivar;37;;;;0.0;556.0;;345.0;19.0
2025-11-27;13:33;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;13:33;Movil Fontibon;39;;;;;563.0;;165.0;20.1
2025-11-27;14:19;Usaquen;1;;127.0;;0.0;;3.3;;18.8
2025-11-27;14:19;Carvajal - Sevillana;3;;196.0;;0.0;;4.8;;21.2
2025-11-27;14:19;Tunal;4;42.0;128.0;;0.0;561.0;3.3;424.0;
2025-11-27;14:19;Centro de Alto Rendimiento;5;45.0;130.0;;0.0;563.0;3.6;335.0;20.7
2025-11-27;14:19;Las Ferias;6;41.0;52.0;;0.0;562.0;4.0;;20.0
2025-11-27;14:19;Guaymaral;8;43.0;107.0;19.5;0.0;562.0;1.7;184.0;20.2
2025-11-27;14:19;Kennedy;9;43.5;164.0;;0.0;;1.1;210.0;
2025-11-27;14:19;Suba;11;;59.0;;0.0;;2.2;;20.2
